embedding_model,fusion_method,repeat,fold,source,layer,inner_fold,C,mean_inner_roc_auc,selected,level,model_name
model_1_all_mpnet_base_v2,late_fusion,1,2,second_layer,,,1.0,0.7374384874384875,False,L1,base
model_1_all_mpnet_base_v2,late_fusion,1,2,second_layer,,,10.0,0.7374384874384875,False,L1,base
model_1_all_mpnet_base_v2,late_fusion,1,2,second_layer,,,0.01,0.771259604592938,False,L1,augmented
model_1_all_mpnet_base_v2,late_fusion,1,2,second_layer,,,0.1,0.771259604592938,False,L1,augmented
model_1_all_mpnet_base_v2,late_fusion,1,2,second_layer,,,1.0,0.7734503151169818,True,L1,augmented
model_1_all_mpnet_base_v2,late_fusion,1,2,second_layer,,,10.0,0.772327980661314,False,L1,augmented
model_1_all_mpnet_base_v2,late_fusion,1,2,second_layer,,,0.01,0.7235819735819736,False,L2,base
model_1_all_mpnet_base_v2,late_fusion,1,2,second_layer,,,0.1,0.7246719330052663,True,L2,base
model_1_all_mpnet_base_v2,late_fusion,1,2,second_layer,,,1.0,0.6664939998273333,False,L2,base
model_1_all_mpnet_base_v2,late_fusion,1,2,second_layer,,,10.0,0.6428926012259346,False,L2,base
model_1_all_mpnet_base_v2,late_fusion,1,2,second_layer,,,0.01,0.7378485711819045,False,L2,augmented
model_1_all_mpnet_base_v2,late_fusion,1,2,second_layer,,,0.1,0.7398342398342398,True,L2,augmented
model_1_all_mpnet_base_v2,late_fusion,1,2,second_layer,,,1.0,0.7107722524389191,False,L2,augmented
model_1_all_mpnet_base_v2,late_fusion,1,2,second_layer,,,10.0,0.6690516273849608,False,L2,augmented
model_1_all_mpnet_base_v2,late_fusion,1,2,second_layer,,,0.01,0.7751661918328585,True,L3,base
model_1_all_mpnet_base_v2,late_fusion,1,2,second_layer,,,0.1,0.7420033670033671,False,L3,base
model_1_all_mpnet_base_v2,late_fusion,1,2,second_layer,,,1.0,0.7099305015971683,False,L3,base
model_1_all_mpnet_base_v2,late_fusion,1,2,second_layer,,,10.0,0.6915522748856082,False,L3,base
model_1_all_mpnet_base_v2,late_fusion,1,2,second_layer,,,0.01,0.8260489510489512,True,L3,augmented
model_1_all_mpnet_base_v2,late_fusion,1,2,second_layer,,,0.1,0.8119658119658121,False,L3,augmented
model_1_all_mpnet_base_v2,late_fusion,1,2,second_layer,,,1.0,0.7735042735042734,False,L3,augmented
model_1_all_mpnet_base_v2,late_fusion,1,2,second_layer,,,10.0,0.7602628852628852,False,L3,augmented
model_1_all_mpnet_base_v2,late_fusion,1,2,second_layer,,,0.01,0.8130989380989381,True,L4,base
model_1_all_mpnet_base_v2,late_fusion,1,2,second_layer,,,0.1,0.781921781921782,False,L4,base
model_1_all_mpnet_base_v2,late_fusion,1,2,second_layer,,,1.0,0.7051174134507469,False,L4,base
model_1_all_mpnet_base_v2,late_fusion,1,2,second_layer,,,10.0,0.6918112751446085,False,L4,base
model_1_all_mpnet_base_v2,late_fusion,1,2,second_layer,,,0.01,0.8302037468704135,True,L4,augmented
model_1_all_mpnet_base_v2,late_fusion,1,2,second_layer,,,0.1,0.8054476387809721,False,L4,augmented
model_1_all_mpnet_base_v2,late_fusion,1,2,second_layer,,,1.0,0.7460286626953293,False,L4,augmented
model_1_all_mpnet_base_v2,late_fusion,1,2,second_layer,,,10.0,0.7254381421048087,False,L4,augmented
model_1_all_mpnet_base_v2,late_fusion,1,3,P,source,1.0,0.01,0.6781045751633986,False,,
model_1_all_mpnet_base_v2,late_fusion,1,3,P,source,1.0,0.1,0.6684368191721134,False,,
model_1_all_mpnet_base_v2,late_fusion,1,3,P,source,1.0,1.0,0.670751633986928,False,,
model_1_all_mpnet_base_v2,late_fusion,1,3,P,source,1.0,10.0,0.6876361655773421,True,,
model_1_all_mpnet_base_v2,late_fusion,1,3,P,source,2.0,0.01,0.732979302832244,False,,
model_1_all_mpnet_base_v2,late_fusion,1,3,P,source,2.0,0.1,0.7407212885154061,False,,
model_1_all_mpnet_base_v2,late_fusion,1,3,P,source,2.0,1.0,0.7484049175225646,True,,
