embedding,fusion,repeat,level,base_auc,augmented_auc,delta_auc,base_pr_auc,augmented_pr_auc,delta_pr_auc,base_brier,augmented_brier,delta_brier,base_log_loss,augmented_log_loss,delta_log_loss,n
model_1_all_mpnet_base_v2,late_fusion,9,L1,0.6983791402396053,0.7021376556260277,0.0037585153864223564,0.5081191917167864,0.523185699155354,0.015066507438567522,0.22779579108218878,0.22709925687670557,0.0006965342054832124,1.0824199220501267,1.1664811032809619,-0.08406118123083517,142
model_1_all_mpnet_base_v2,late_fusion,9,L2,0.7097721400046982,0.7199906037115338,0.010218463706835546,0.5367090638012391,0.5516410834110577,0.014932019609818603,0.21751167213280345,0.21830493639131165,-0.0007932642585082028,1.1442690653272376,1.2542386547623874,-0.10996958943514978,142
model_1_all_mpnet_base_v2,late_fusion,9,L3,0.801855766972046,0.7922245712943387,-0.009631195677707316,0.6228721488962083,0.6049294382639998,-0.017942710632208536,0.19163823954581016,0.17888760564841127,0.012750633897398889,1.0286018417047404,1.012573576806088,0.0160282648986525,142
model_1_all_mpnet_base_v2,late_fusion,9,L4,0.8103124265914964,0.7861169837914024,-0.024195442800094003,0.6350834000267744,0.6178914229431764,-0.017191977083597987,0.18466925330374973,0.18292804823659217,0.001741205067157553,0.9889799409682885,0.9854080597186918,0.00357188124959662,142
model_1_all_mpnet_base_v2,late_fusion,10,L1,0.688747944561898,0.732440685929058,0.04369274136715995,0.5246726002208799,0.5783268732323454,0.053654273011465525,0.2337436976838504,0.22203504699882204,0.011708650685028354,0.6620685437158232,0.6335980206941758,0.02847052302164743,142
model_1_all_mpnet_base_v2,late_fusion,10,L2,0.7223396758280478,0.738313366220343,0.015973690392295237,0.5664634791569103,0.6025868356831201,0.03612335652620979,0.22211624946793407,0.22060473615414125,0.0015115133137928172,0.6772571655521098,0.6346370321120756,0.042620133440034236,142
model_1_all_mpnet_base_v2,late_fusion,10,L3,0.796805261921541,0.8273431994362227,0.0305379375146817,0.6692738155680937,0.730539330333666,0.06126551476557229,0.1987868906895416,0.20011575204079476,-0.0013288613512531522,0.5883379881627554,0.5895988872827927,-0.001260899120037351,142
model_1_all_mpnet_base_v2,late_fusion,10,L4,0.8090204369274137,0.8155978388536528,0.006577401926239124,0.7237143641962841,0.7284301936483251,0.004715829452040965,0.19500005975946222,0.19440607925410922,0.0005939805053530034,0.578478158427923,0.5770674701527244,0.001410688275198635,142
model_1_all_mpnet_base_v2,early_concat,1,L1,0.7432464176650224,0.8087855297157622,0.06553911205073981,0.5989721343097014,0.6709026076200706,0.07193047331036917,0.23291455117129078,0.245298475913842,-0.012383924742551206,0.6582770517188762,0.6837343351314131,-0.025457283412536946,142
model_1_all_mpnet_base_v2,early_concat,1,L2,0.6997885835095138,0.741367159971811,0.041578576462297234,0.6143274148531316,0.6459197447922262,0.031592329939094665,0.21112248774206152,0.18691957933923126,0.024202908402830264,0.622732424465171,0.570024728845864,0.05270769561930699,142
model_1_all_mpnet_base_v2,early_concat,1,L3,0.8047921071176884,0.7517030772844726,-0.05308902983321584,0.6814245815376129,0.6639454455841558,-0.01747913595345707,0.2011576065695262,0.1948480524693477,0.006309554100178499,0.590047783387383,0.5838689512467699,0.0061788321406131,142
model_1_all_mpnet_base_v2,early_concat,1,L4,0.8019732205778718,0.8019732205778718,0.0,0.6837408621661464,0.6839491069085782,0.0002082447424318623,0.19149541298149184,0.19038037213198328,0.0011150408495085584,0.5657095726882596,0.563309599262576,0.0023999734256836547,142
