embedding,fusion,metric,attenuation_type,estimate,ci_low,ci_high,n,n_bootstrap
model_1_all_mpnet_base_v2,late_fusion,auc,protocol_plus_domain,0.012450082217524083,-0.04632688810440731,0.072391923319117,142,5000
model_1_all_mpnet_base_v2,late_fusion,pr_auc,protocol,-0.042538862396749255,-0.14667215744534867,0.06390482836456596,142,5000
model_1_all_mpnet_base_v2,late_fusion,pr_auc,domain,0.005430792295520848,-0.07238953797486901,0.09178656988884888,142,5000
model_1_all_mpnet_base_v2,late_fusion,pr_auc,protocol_plus_domain,0.01284259366544177,-0.06493112035376804,0.09569958741805555,142,5000
model_1_all_mpnet_base_v2,late_fusion,brier,protocol,0.008719431645065806,-0.008159181916410905,0.02430370547914482,142,5000
model_1_all_mpnet_base_v2,late_fusion,brier,domain,0.009127137807447033,-0.008008227046624924,0.024417539277554502,142,5000
model_1_all_mpnet_base_v2,late_fusion,brier,protocol_plus_domain,0.010530535406135855,-0.007584514354701442,0.027127472650924175,142,5000
model_1_all_mpnet_base_v2,late_fusion,log_loss,protocol,-0.02538384881415956,-0.10389182011627292,0.037879752978490555,142,5000
model_1_all_mpnet_base_v2,late_fusion,log_loss,domain,-0.04019265641638947,-0.12562388696550544,0.030882440077394338,142,5000
model_1_all_mpnet_base_v2,late_fusion,log_loss,protocol_plus_domain,-0.05587887185883156,-0.15065884423325002,0.026032316381564412,142,5000
model_2_bge_large_en_v1_5,early_concat,auc,protocol,0.015973690392295015,-0.07921686284319918,0.11340645752778561,142,5000
model_2_bge_large_en_v1_5,early_concat,auc,domain,0.092788348602302,0.0197616030283082,0.17022195241733074,142,5000
model_2_bge_large_en_v1_5,early_concat,auc,protocol_plus_domain,0.057317359642941046,-0.005729136781235543,0.12261154506248907,142,5000
model_2_bge_large_en_v1_5,early_concat,pr_auc,protocol,0.03340254006645227,-0.08329738477445049,0.1492325810251436,142,5000
model_2_bge_large_en_v1_5,early_concat,pr_auc,domain,0.09307460511665155,0.008917417038249548,0.18430291296250023,142,5000
model_2_bge_large_en_v1_5,early_concat,pr_auc,protocol_plus_domain,0.074047650741761,-0.015775271306048718,0.16672766712467266,142,5000
model_2_bge_large_en_v1_5,early_concat,brier,protocol,-0.02908373984940371,-0.04965132342946493,-0.005851450811879434,142,5000
model_2_bge_large_en_v1_5,early_concat,brier,domain,-0.013894161291861523,-0.03034093104240239,0.0045309612593548996,142,5000
model_2_bge_large_en_v1_5,early_concat,brier,protocol_plus_domain,-0.0053710924257694415,-0.012510907197129684,0.002117506808977,142,5000
model_2_bge_large_en_v1_5,early_concat,log_loss,protocol,-0.05642136717086854,-0.10865519593770154,0.004025698869666462,142,5000
model_2_bge_large_en_v1_5,early_concat,log_loss,domain,-0.03352366635450932,-0.07587828006383913,0.017197943155295364,142,5000
model_2_bge_large_en_v1_5,early_concat,log_loss,protocol_plus_domain,-0.011904067027174725,-0.029226253932137503,0.006257029591032458,142,5000
model_2_bge_large_en_v1_5,late_fusion,auc,protocol,-0.01620859760394655,-0.07500123436471348,0.04166877530364377,142,5000
model_2_bge_large_en_v1_5,late_fusion,auc,domain,0.0007047216349541641,-0.06622604072668754,0.06544453819230232,142,5000
model_2_bge_large_en_v1_5,late_fusion,auc,protocol_plus_domain,-0.010570824524312905,-0.07904781134269465,0.05700880632312664,142,5000
model_2_bge_large_en_v1_5,late_fusion,pr_auc,protocol,-0.013246300099523434,-0.08732453850995847,0.07599128257896216,142,5000
model_2_bge_large_en_v1_5,late_fusion,pr_auc,domain,0.02402631538688771,-0.05736010048560653,0.11673108596043458,142,5000
model_2_bge_large_en_v1_5,late_fusion,pr_auc,protocol_plus_domain,0.02699315355812748,-0.0521957823573305,0.11645061965561637,142,5000
model_2_bge_large_en_v1_5,late_fusion,brier,protocol,-0.005695307088515761,-0.024400502718304334,0.010787382702828854,142,5000
model_2_bge_large_en_v1_5,late_fusion,brier,domain,0.02058985838837607,0.007278261061761365,0.0350219145522848,142,5000
model_2_bge_large_en_v1_5,late_fusion,brier,protocol_plus_domain,0.021098892140211406,0.006969444488692223,0.0348405137221862,142,5000
model_2_bge_large_en_v1_5,late_fusion,log_loss,protocol,-0.23419323858556718,-0.47070751669265204,-0.05013015521753826,142,5000
model_2_bge_large_en_v1_5,late_fusion,log_loss,domain,0.04854899975774052,0.018565332146283687,0.0818207173938515,142,5000
model_2_bge_large_en_v1_5,late_fusion,log_loss,protocol_plus_domain,0.05113856147139617,0.019345198215740596,0.08446210039855213,142,5000
