representation,repeat,draw,domain_type,base_roc_auc,enhanced_roc_auc,base_pr_auc,enhanced_pr_auc,base_brier,enhanced_brier,base_log_loss,enhanced_log_loss,delta_auc,delta_pr_auc,delta_brier,delta_log_loss,interpretation_scope
tfidf,1,11,fake,0.887244538407329,0.9097956307258633,0.7699399605488406,0.8130268879508854,0.1452527289969011,0.13307407167253457,0.467928348087166,0.41045116618078425,0.02255109231853436,0.04308692740204478,0.012178657324366515,0.057477181906381736,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,12,fake,0.9090909090909092,0.920836269673479,0.8138564582010415,0.8224493413206867,0.12899942124930125,0.13620384833797608,0.3997643421299102,0.42272136262193,0.011745360582569808,0.008592883119645234,-0.007204427088674831,-0.02295702049201981,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,13,fake,0.9262391355414612,0.9107352595724688,0.8370343633845315,0.8085704239023971,0.12451882253951792,0.1365895503780407,0.39143024468096344,0.4188578054588185,-0.015503875968992387,-0.028463939482134437,-0.012070727838522796,-0.027427560777855076,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,14,fake,0.8949964763918252,0.9156683110171482,0.751755024756377,0.7981133528437693,0.14837876192755123,0.12679537525036036,0.4550552953489439,0.399891328048551,0.02067183462532296,0.046358328087392264,0.02158338667719087,0.05516396730039291,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,15,fake,0.8787878787878788,0.8860700023490722,0.7385893315403821,0.7447607710261117,0.14967262642185603,0.14725380807257812,0.4704417120883194,0.4702415701301413,0.007282123561193399,0.006171439485729624,0.0024188183492779014,0.00020014195817813496,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,16,fake,0.9013389711064129,0.8999295278365045,0.787763213418225,0.7817939963904148,0.14439735445983745,0.1420603455997934,0.44068969003391195,0.4327043620042639,-0.0014094432699084392,-0.00596921702781017,0.0023370088600440653,0.007985328029648076,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,17,fake,0.8921775898520085,0.8517735494479681,0.8082514997330725,0.7233600540791887,0.14416307295140396,0.16215296791222006,0.4302838173867612,0.5423990215091816,-0.04040404040404033,-0.08489144565388385,-0.0179898949608161,-0.11211520412242043,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,18,fake,0.904862579281184,0.9215409913084331,0.798334118575064,0.831648523240475,0.13317635412789752,0.12310405548383963,0.4156391662946493,0.3845182464202356,0.01667841202724918,0.033314404665411024,0.010072298644057898,0.031120919874413733,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,19,fake,0.8799624148461358,0.898989898989899,0.7295780016008536,0.7781784310824833,0.15229936475354947,0.14858261271529277,0.6098777792336812,0.46556712062086575,0.019027484143763207,0.04860042948162968,0.003716752038256693,0.1443106586128155,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,20,fake,0.8968757340850364,0.8902983321587972,0.8088816766058262,0.7827648971803206,0.14478991291566407,0.14247227822403916,0.44164883262928284,0.4288948288245709,-0.006577401926239235,-0.02611677942550561,0.002317634691624909,0.012754003804711922,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,21,fake,0.8985200845665962,0.8933521259102655,0.8085099353986146,0.7495249637207856,0.13322448941441284,0.14002299919268965,0.419619476332065,0.46070568512659316,-0.0051679586563306845,-0.05898497167782901,-0.006798509778276812,-0.04108620879452818,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,22,fake,0.9245947850599013,0.9187221047686165,0.8150340009584011,0.7992522450695233,0.12169445058789703,0.1314450715282309,0.39365525667619455,0.4203339685957658,-0.005872680291284849,-0.015781755888877758,-0.009750620940333868,-0.02667871191957122,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,23,fake,0.9102654451491661,0.9147286821705427,0.8192339139003547,0.8190566104050964,0.13474297541153338,0.1336679516535208,0.4109526784856278,0.41069821681739893,0.0044632370213766315,-0.00017730349525835187,0.0010750237580125777,0.00025446166822884475,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,24,fake,0.9346957951609114,0.9325816302560489,0.829985061776836,0.8628932295757611,0.1253610776707507,0.12535510928042531,0.4025881097736238,0.39701818721760196,-0.002114164904862492,0.032908167798925136,5.9683903253782145e-06,0.005569922556021845,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,25,fake,0.8757340850364106,0.8907681465821001,0.7617472813813224,0.8002816210749624,0.14446276510215725,0.13828154616056854,0.5860706860249306,0.44959208332963585,0.015034061545689537,0.03853433969363995,0.006181218941588712,0.13647860269529477,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,26,fake,0.9081512802443035,0.913789053323937,0.7839220580117504,0.7920742775606227,0.1295057361616778,0.12791430575049426,0.4067253735951449,0.4049046081577889,0.005637773079633535,0.008152219548872242,0.0015914304111835365,0.0018207654373559867,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,27,fake,0.9292929292929293,0.9050974864928353,0.8272100217994351,0.7856339660309535,0.1276836437517348,0.1399471992771844,0.4033232889252446,0.4303144521129716,-0.024195442800094003,-0.04157605576848167,-0.01226355552544961,-0.026991163187726985,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,28,fake,0.893117218698614,0.916138125440451,0.7936785353422828,0.8259486427460379,0.13462271948116378,0.12458959924393408,0.45975644972286467,0.3976823842305007,0.02302090674183699,0.03227010740375502,0.0100331202372297,0.062074065492363995,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,29,fake,0.9088560018792577,0.8893587033121917,0.7812258074652187,0.8148474647347943,0.13398758662398066,0.14275322806069027,0.49726573744100355,0.5369273592077265,-0.019497298567066057,0.033621657269575556,-0.008765641436709604,-0.03966162176672294,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,30,fake,0.9083861874559549,0.907211651397698,0.8011123044896855,0.8115444837324624,0.13349193429185247,0.13553811326477036,0.4171963330403418,0.42210680575454457,-0.001174536058256903,0.01043217924277684,-0.0020461789729178947,-0.0049104727142027516,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
