evaluation,model,model_short,input_condition,condition_label,fold,outer_folds,inner_folds,threshold_metric,threshold,train_or_oracle_metric_at_threshold,train_rows,test_rows,class_weight,n,positive_n,negative_n,accuracy,precision,recall,sensitivity,specificity,f1,macro_f1,auc,mcc,tn,fp,fn,tp
nested_threshold,tfidf_linear_svm,TF-IDF + SVM,participant_only,C2 Participant-only,5,5,4,mcc,-0.42913138892814334,0.323429492567013,152,37,balanced,37,8,29,0.5675675675675675,0.3181818181818182,0.875,0.875,0.4827586206896552,0.4666666666666667,0.5515151515151515,0.8362068965517242,0.29996952126609505,14,15,1,7
oracle_test_threshold,tfidf_linear_svm,TF-IDF + SVM,participant_only,C2 Participant-only,5,5,,mcc,-0.22971506922048635,0.5605569890127448,152,37,balanced,37,8,29,0.8648648648648649,0.8,0.5,0.5,0.9655172413793104,0.6153846153846154,0.7667087011349307,0.8362068965517242,0.5605569890127448,28,1,4,4
nested_threshold,tfidf_logistic_regression,TF-IDF + LR,interviewer_only,C3 Interviewer-only,1,5,4,mcc,0.48909501062692906,0.4509822426331386,148,38,balanced,38,9,29,0.7105263157894737,0.4375,0.7777777777777778,0.7777777777777778,0.6896551724137931,0.56,0.672156862745098,0.8390804597701149,0.40250218775298874,20,9,2,7
oracle_test_threshold,tfidf_logistic_regression,TF-IDF + LR,interviewer_only,C3 Interviewer-only,1,5,,mcc,0.44663231127128683,0.5284981975632331,148,38,balanced,38,9,29,0.7105263157894737,0.45,1.0,1.0,0.6206896551724138,0.6206896551724138,0.6933235509904623,0.8390804597701149,0.5284981975632331,18,11,0,9
nested_threshold,tfidf_logistic_regression,TF-IDF + LR,interviewer_only,C3 Interviewer-only,2,5,4,mcc,0.5604900295048901,0.47531992902353926,149,37,balanced,37,8,29,0.8108108108108109,0.5555555555555556,0.625,0.625,0.8620689655172413,0.5882352941176471,0.7327141382868937,0.8017241379310345,0.4673413197446464,25,4,3,5
oracle_test_threshold,tfidf_logistic_regression,TF-IDF + LR,interviewer_only,C3 Interviewer-only,2,5,,mcc,0.5072160623973911,0.5673649067577046,149,37,balanced,37,8,29,0.8378378378378378,0.6,0.75,0.75,0.8620689655172413,0.6666666666666666,0.7797619047619048,0.8017241379310345,0.5673649067577046,25,4,2,6
nested_threshold,tfidf_logistic_regression,TF-IDF + LR,interviewer_only,C3 Interviewer-only,3,5,4,mcc,0.43502084195760293,0.5057956581228784,149,37,balanced,37,8,29,0.6486486486486487,0.35294117647058826,0.75,0.75,0.6206896551724138,0.48,0.6073469387755102,0.7887931034482758,0.3062069193940382,18,11,2,6
oracle_test_threshold,tfidf_logistic_regression,TF-IDF + LR,interviewer_only,C3 Interviewer-only,3,5,,mcc,0.5198860507157492,0.5202089135345165,149,37,balanced,37,8,29,0.8108108108108109,0.5454545454545454,0.75,0.75,0.8275862068965517,0.631578947368421,0.7521531100478469,0.7887931034482758,0.5202089135345165,24,5,2,6
nested_threshold,tfidf_logistic_regression,TF-IDF + LR,interviewer_only,C3 Interviewer-only,4,5,4,mcc,0.5211833485659307,0.443461606191414,149,37,balanced,37,8,29,0.8108108108108109,0.5454545454545454,0.75,0.75,0.8275862068965517,0.631578947368421,0.7521531100478469,0.8706896551724137,0.5202089135345165,24,5,2,6
oracle_test_threshold,tfidf_logistic_regression,TF-IDF + LR,interviewer_only,C3 Interviewer-only,4,5,,mcc,0.535480713000887,0.5673649067577046,149,37,balanced,37,8,29,0.8378378378378378,0.6,0.75,0.75,0.8620689655172413,0.6666666666666666,0.7797619047619048,0.8706896551724137,0.5673649067577046,25,4,2,6
nested_threshold,tfidf_logistic_regression,TF-IDF + LR,interviewer_only,C3 Interviewer-only,5,5,4,mcc,0.4912195388326631,0.44774157680596444,149,37,balanced,37,9,28,0.918918918918919,0.875,0.7777777777777778,0.7777777777777778,0.9642857142857143,0.8235294117647058,0.8854489164086687,0.9563492063492064,0.7733878477190165,27,1,2,7
oracle_test_threshold,tfidf_logistic_regression,TF-IDF + LR,interviewer_only,C3 Interviewer-only,5,5,,mcc,0.4415127129049258,0.8183170883849714,149,37,balanced,37,9,28,0.918918918918919,0.75,1.0,1.0,0.8928571428571429,0.8571428571428571,0.9002695417789757,0.9563492063492064,0.8183170883849714,25,3,0,9
nested_threshold,tfidf_linear_svm,TF-IDF + SVM,interviewer_only,C3 Interviewer-only,1,5,4,mcc,-0.0602140045448151,0.5286696543255031,148,38,balanced,38,9,29,0.868421052631579,0.6428571428571429,1.0,1.0,0.8275862068965517,0.782608695652174,0.8441345365053323,0.9195402298850575,0.729396808625797,24,5,0,9
oracle_test_threshold,tfidf_linear_svm,TF-IDF + SVM,interviewer_only,C3 Interviewer-only,1,5,,mcc,-0.05705486493944141,0.729396808625797,148,38,balanced,38,9,29,0.868421052631579,0.6428571428571429,1.0,1.0,0.8275862068965517,0.782608695652174,0.8441345365053323,0.9195402298850575,0.729396808625797,24,5,0,9
nested_threshold,tfidf_linear_svm,TF-IDF + SVM,interviewer_only,C3 Interviewer-only,2,5,4,mcc,-0.35970927508666384,0.538168318372152,149,37,balanced,37,8,29,0.7027027027027027,0.4,0.75,0.75,0.6896551724137931,0.5217391304347826,0.6530264279624893,0.814655172413793,0.36863724300170714,20,9,2,6
oracle_test_threshold,tfidf_linear_svm,TF-IDF + SVM,interviewer_only,C3 Interviewer-only,2,5,,mcc,0.01052316951441376,0.521551724137931,149,37,balanced,37,8,29,0.8378378378378378,0.625,0.625,0.625,0.896551724137931,0.625,0.7607758620689655,0.814655172413793,0.521551724137931,26,3,3,5
nested_threshold,tfidf_linear_svm,TF-IDF + SVM,interviewer_only,C3 Interviewer-only,3,5,4,mcc,-0.194843270383376,0.5725252538014451,149,37,balanced,37,8,29,0.7567567567567568,0.46153846153846156,0.75,0.75,0.7586206896551724,0.5714285714285714,0.7008086253369272,0.8189655172413793,0.4385920121694138,22,7,2,6
oracle_test_threshold,tfidf_linear_svm,TF-IDF + SVM,interviewer_only,C3 Interviewer-only,3,5,,mcc,-0.34109400694103736,0.5023585958552675,149,37,balanced,37,8,29,0.7567567567567568,0.4666666666666667,0.875,0.875,0.7241379310344828,0.6086956521739131,0.7161125319693095,0.8189655172413793,0.5023585958552675,21,8,1,7
nested_threshold,tfidf_linear_svm,TF-IDF + SVM,interviewer_only,C3 Interviewer-only,4,5,4,mcc,0.23069612328195105,0.44267713343875953,149,37,balanced,37,8,29,0.8648648648648649,1.0,0.375,0.375,1.0,0.5454545454545454,0.7330447330447329,0.8922413793103449,0.5655554271479238,29,0,5,3
oracle_test_threshold,tfidf_linear_svm,TF-IDF + SVM,interviewer_only,C3 Interviewer-only,4,5,,mcc,-0.0760474192520714,0.6638486881671815,149,37,balanced,37,8,29,0.8648648648648649,0.6363636363636364,0.875,0.875,0.8620689655172413,0.7368421052631579,0.8229665071770335,0.8922413793103449,0.6638486881671815,25,4,1,7
nested_threshold,tfidf_linear_svm,TF-IDF + SVM,interviewer_only,C3 Interviewer-only,5,5,4,mcc,-0.07873898762994548,0.49208542975523734,149,37,balanced,37,9,28,0.8918918918918919,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.9285714285714286,0.7777777777777778,0.8531746031746033,0.9484126984126985,0.7063492063492064,26,2,2,7
oracle_test_threshold,tfidf_linear_svm,TF-IDF + SVM,interviewer_only,C3 Interviewer-only,5,5,,mcc,0.027072687557097158,0.7733878477190165,149,37,balanced,37,9,28,0.918918918918919,0.875,0.7777777777777778,0.7777777777777778,0.9642857142857143,0.8235294117647058,0.8854489164086687,0.9484126984126985,0.7733878477190165,27,1,2,7
nested_threshold,tfidf_logistic_regression,TF-IDF + LR,interviewer_cleaned,C4 Interviewer-cleaned,1,5,4,mcc,0.5485688418036079,0.37596004805703936,148,38,balanced,38,9,29,0.7631578947368421,0.5,0.6666666666666666,0.6666666666666666,0.7931034482758621,0.5714285714285714,0.7038961038961038,0.8045977011494252,0.42051713353118003,23,6,3,6
oracle_test_threshold,tfidf_logistic_regression,TF-IDF + LR,interviewer_cleaned,C4 Interviewer-cleaned,1,5,,mcc,0.5987453881236708,0.6233022919309994,148,38,balanced,38,9,29,0.868421052631579,0.75,0.6666666666666666,0.6666666666666666,0.9310344827586207,0.7058823529411765,0.810568295114656,0.8045977011494252,0.6233022919309994,27,2,3,6
nested_threshold,tfidf_logistic_regression,TF-IDF + LR,interviewer_cleaned,C4 Interviewer-cleaned,2,5,4,mcc,0.5730141468586862,0.4363707169737297,149,37,balanced,37,8,29,0.8108108108108109,0.5714285714285714,0.5,0.5,0.896551724137931,0.5333333333333333,0.7073446327683616,0.814655172413793,0.41680621636833115,26,3,4,4
oracle_test_threshold,tfidf_logistic_regression,TF-IDF + LR,interviewer_cleaned,C4 Interviewer-cleaned,2,5,,mcc,0.5887982500454335,0.5605569890127448,149,37,balanced,37,8,29,0.8648648648648649,0.8,0.5,0.5,0.9655172413793104,0.6153846153846154,0.7667087011349307,0.814655172413793,0.5605569890127448,28,1,4,4
nested_threshold,tfidf_logistic_regression,TF-IDF + LR,interviewer_cleaned,C4 Interviewer-cleaned,3,5,4,mcc,0.6098327635707017,0.4855330166458334,149,37,balanced,37,8,29,0.7837837837837838,0.5,0.375,0.375,0.896551724137931,0.42857142857142855,0.6476190476190476,0.6982758620689655,0.30327742561131754,26,3,5,3
oracle_test_threshold,tfidf_logistic_regression,TF-IDF + LR,interviewer_cleaned,C4 Interviewer-cleaned,3,5,,mcc,0.6458251443777977,0.32503185468271484,149,37,balanced,37,8,29,0.8108108108108109,0.6666666666666666,0.25,0.25,0.9655172413793104,0.36363636363636365,0.6262626262626263,0.6982758620689655,0.32503185468271484,28,1,6,2
nested_threshold,tfidf_logistic_regression,TF-IDF + LR,interviewer_cleaned,C4 Interviewer-cleaned,4,5,4,mcc,0.5779414650576165,0.355017077969073,149,37,balanced,37,8,29,0.8648648648648649,1.0,0.375,0.375,1.0,0.5454545454545454,0.7330447330447329,0.875,0.5655554271479238,29,0,5,3
