experiment,condition,draw_id,embedding_model,fusion_method,model_level,model_name,n,auc,pr_auc,brier,log_loss
pairing,random,47,model_1_all_mpnet_base_v2,late_fusion,L1,augmented,142,0.5528541226215645,0.35012108108492307,0.31546859865950555,2.869162871205652
pairing,random,48,model_1_all_mpnet_base_v2,late_fusion,L1,augmented,142,0.6671364810899695,0.555814785415865,0.23117963777269387,0.6623440027147439
pairing,random,49,model_1_all_mpnet_base_v2,late_fusion,L1,augmented,142,0.5668311017148225,0.36280529481120727,0.283520163082437,2.358404215703154
pairing,random,50,model_1_all_mpnet_base_v2,late_fusion,L1,augmented,142,0.6967347897580455,0.5652760797239508,0.2289234741109487,0.6595093816941191
pairing,real,0,model_1_all_mpnet_base_v2,late_fusion,L1,augmented,142,0.6650223161851069,0.4943221189191391,0.24453350322173512,0.8255023442653996
pairing,structure_matched_random,1,model_1_all_mpnet_base_v2,late_fusion,L1,augmented,142,0.7011980267794221,0.5575884249832377,0.24221031340092644,0.6773734492217449
pairing,structure_matched_random,2,model_1_all_mpnet_base_v2,late_fusion,L1,augmented,142,0.7712003758515386,0.6260333464338768,0.22108631989479052,0.6363347143350049
pairing,structure_matched_random,3,model_1_all_mpnet_base_v2,late_fusion,L1,augmented,142,0.7098895936105238,0.5528036747791383,0.2387039415050738,0.6703350966934314
pairing,structure_matched_random,4,model_1_all_mpnet_base_v2,late_fusion,L1,augmented,142,0.712943387361992,0.5534777528624888,0.23088199853807748,0.6640720386184314
pairing,structure_matched_random,5,model_1_all_mpnet_base_v2,late_fusion,L1,augmented,142,0.7218698614047452,0.5920832170681771,0.23118854852201684,0.6561284806345944
pairing,structure_matched_random,6,model_1_all_mpnet_base_v2,late_fusion,L1,augmented,142,0.7129433873619919,0.6012052164301818,0.22259253904381773,0.6448874722591452
pairing,structure_matched_random,7,model_1_all_mpnet_base_v2,late_fusion,L1,augmented,142,0.7011980267794222,0.560843343224557,0.2360428374326779,0.6668106811837909
pairing,structure_matched_random,8,model_1_all_mpnet_base_v2,late_fusion,L1,augmented,142,0.7077754287056612,0.5785179334235964,0.23416850172669001,0.6718187321381143
pairing,structure_matched_random,9,model_1_all_mpnet_base_v2,late_fusion,L1,augmented,142,0.7152924594785061,0.5751645806726923,0.23567970801383292,0.6727288278823872
pairing,structure_matched_random,10,model_1_all_mpnet_base_v2,late_fusion,L1,augmented,142,0.7211651397697909,0.5694572606477405,0.23920005591352977,0.6713500787553652
pairing,structure_matched_random,11,model_1_all_mpnet_base_v2,late_fusion,L1,augmented,142,0.725863284002819,0.6077148092853232,0.22654161888361257,0.6525171517074563
pairing,structure_matched_random,12,model_1_all_mpnet_base_v2,late_fusion,L1,augmented,142,0.7340850364106178,0.5805051975045155,0.23944700621892917,0.6718282403519372
pairing,structure_matched_random,13,model_1_all_mpnet_base_v2,late_fusion,L1,augmented,142,0.7214000469814423,0.5875416652789573,0.22971051207874868,0.6605607037000938
