experiment,condition,draw_id,embedding_model,fusion_method,model_level,model_name,n,auc,pr_auc,brier,log_loss,domain_variant,base_auc,augmented_auc,delta_auc,base_pr_auc,augmented_pr_auc,delta_pr_auc,base_brier,augmented_brier,delta_brier,base_log_loss,augmented_log_loss,delta_log_loss
fake_d,fake_d,13,model_1_all_mpnet_base_v2,early_concat,L3,,,,,,,Fake-D,0.6744186046511627,0.732440685929058,0.05802208127789532,0.5250416684875897,0.5973768472077624,0.0723351787201727,0.21066953015102988,0.19620471016530125,0.014464819985728627,0.6243296075584382,0.6056108382782052,0.018718769280233083
fake_d,fake_d,14,model_1_all_mpnet_base_v2,early_concat,L3,augmented,142.0,0.7150575522668545,0.5615362497133074,0.19472780903876202,0.6640001758311176,Fake-D,,,,,,,,,,,,
fake_d,fake_d,14,model_1_all_mpnet_base_v2,early_concat,L3,base,142.0,0.7136481089969461,0.5496136879326105,0.19924699342653976,0.6374618307479609,Fake-D,,,,,,,,,,,,
fake_d,fake_d,14,model_1_all_mpnet_base_v2,early_concat,L3,,,,,,,Fake-D,0.7136481089969461,0.7150575522668545,0.0014094432699084392,0.5496136879326105,0.5615362497133074,0.01192256178069695,0.19924699342653976,0.19472780903876202,0.004519184387777736,0.6374618307479609,0.6640001758311176,-0.026538345083156667
fake_d,fake_d,15,model_1_all_mpnet_base_v2,early_concat,L3,augmented,142.0,0.7063659854357529,0.517930378160318,0.21069814586374586,0.6355405170816438,Fake-D,,,,,,,,,,,,
fake_d,fake_d,15,model_1_all_mpnet_base_v2,early_concat,L3,base,142.0,0.692271552736669,0.4506558959472642,0.2173829173504497,0.6463283429752976,Fake-D,,,,,,,,,,,,
fake_d,fake_d,15,model_1_all_mpnet_base_v2,early_concat,L3,,,,,,,Fake-D,0.692271552736669,0.7063659854357529,0.014094432699083947,0.4506558959472642,0.517930378160318,0.06727448221305377,0.2173829173504497,0.21069814586374586,0.00668477148670385,0.6463283429752976,0.6355405170816438,0.01078782589365379
fake_d,fake_d,16,model_1_all_mpnet_base_v2,early_concat,L3,augmented,142.0,0.7352595724688749,0.5479473254346802,0.19345819231825376,0.6029291486743585,Fake-D,,,,,,,,,,,,
fake_d,fake_d,16,model_1_all_mpnet_base_v2,early_concat,L3,base,142.0,0.7122386657270378,0.542657255049677,0.20256425478331527,0.6087237040687561,Fake-D,,,,,,,,,,,,
fake_d,fake_d,16,model_1_all_mpnet_base_v2,early_concat,L3,,,,,,,Fake-D,0.7122386657270378,0.7352595724688749,0.0230209067418371,0.542657255049677,0.5479473254346802,0.005290070385003176,0.20256425478331527,0.19345819231825376,0.009106062465061515,0.6087237040687561,0.6029291486743585,0.005794555394397549
fake_d,fake_d,17,model_1_all_mpnet_base_v2,early_concat,L3,augmented,142.0,0.7524077989194269,0.5720938995002693,0.18798038018910956,0.5908591286285093,Fake-D,,,,,,,,,,,,
fake_d,fake_d,17,model_1_all_mpnet_base_v2,early_concat,L3,base,142.0,0.7446558609349307,0.5195962428643685,0.19491823757389495,0.6086024105397598,Fake-D,,,,,,,,,,,,
fake_d,fake_d,17,model_1_all_mpnet_base_v2,early_concat,L3,,,,,,,Fake-D,0.7446558609349307,0.7524077989194269,0.007751937984496138,0.5195962428643685,0.5720938995002693,0.05249765663590089,0.19491823757389495,0.18798038018910956,0.00693785738478539,0.6086024105397598,0.5908591286285093,0.01774328191125052
fake_d,fake_d,18,model_1_all_mpnet_base_v2,early_concat,L3,augmented,142.0,0.6690157387831805,0.5098081277950578,0.2160089510475878,0.6426841577953143,Fake-D,,,,,,,,,,,,
fake_d,fake_d,18,model_1_all_mpnet_base_v2,early_concat,L3,base,142.0,0.6304909560723514,0.4398141048451433,0.2284860049465646,0.6622378765073234,Fake-D,,,,,,,,,,,,
fake_d,fake_d,18,model_1_all_mpnet_base_v2,early_concat,L3,,,,,,,Fake-D,0.6304909560723514,0.6690157387831805,0.03852478271082915,0.4398141048451433,0.5098081277950578,0.06999402294991447,0.2284860049465646,0.2160089510475878,0.012477053898976798,0.6622378765073234,0.6426841577953143,0.01955371871200906
