embedding_model,repeat,condition,draw_id,model_level,fusion_method,n,auc,pr_auc,brier,log_loss
model_1_all_mpnet_base_v2,6,matched,37,L1,early_concat,142,0.7535823349776838,0.604221707732016,0.24793567205785258,0.689016112626735
model_1_all_mpnet_base_v2,6,matched,38,L1,early_concat,142,0.7157622739018088,0.5361700021724453,0.2439584543527365,0.6810108875569203
model_1_all_mpnet_base_v2,6,matched,39,L1,early_concat,142,0.7599248296922716,0.6643064124620074,0.2360422642410263,0.6645991377582233
model_1_all_mpnet_base_v2,6,matched,40,L1,early_concat,142,0.7049565421658445,0.5305708946930929,0.24398979420314243,0.685126139100343
model_1_all_mpnet_base_v2,6,matched,41,L1,early_concat,142,0.7310312426591496,0.5509962005431748,0.2436893481756514,0.6804800350336133
model_1_all_mpnet_base_v2,6,matched,42,L1,early_concat,142,0.7091848719755697,0.5345016355340612,0.24244165653683195,0.6817415086486258
model_1_all_mpnet_base_v2,6,matched,43,L1,early_concat,142,0.7129433873619919,0.5558171802395955,0.2331019588971236,0.6622674809430302
model_1_all_mpnet_base_v2,6,matched,44,L1,early_concat,142,0.7655626027719051,0.6730083921074981,0.23433692365892572,0.6612224169047689
model_1_all_mpnet_base_v2,6,matched,45,L1,early_concat,142,0.728917077754287,0.5385707110273292,0.24211592265241177,0.6796583065516107
model_1_all_mpnet_base_v2,6,matched,46,L1,early_concat,142,0.760159736903923,0.6178902718750775,0.24516540327856423,0.6834723829186541
model_1_all_mpnet_base_v2,6,matched,47,L1,early_concat,142,0.7418369743951139,0.5750085879964573,0.24856314323977818,0.6902724000854042
model_1_all_mpnet_base_v2,6,matched,48,L1,early_concat,142,0.6957951609114399,0.5170785566150286,0.2408916455553326,0.6779645152149832
model_1_all_mpnet_base_v2,6,matched,49,L1,early_concat,142,0.714117923420249,0.5450466279455386,0.24203655562017645,0.6807243683376242
model_1_all_mpnet_base_v2,6,matched,50,L1,early_concat,142,0.7427766032417195,0.5747218767962158,0.24715392268277064,0.68745200101596
model_1_all_mpnet_base_v2,6,random,1,L1,early_concat,142,0.7061310782241015,0.5599805264817153,0.21298740196228844,0.616093846125812
model_1_all_mpnet_base_v2,6,random,2,L1,early_concat,142,0.6957951609114401,0.5320428514171333,0.24247167604653666,0.6778891245913046
