embedding_model,repeat,contrast,real_value,null_mean,null_sd,repeat_contrast,n_draws
model_1_all_mpnet_base_v2,10,real_minus_matched,0.797509983556495,0.7488090204369274,0.014515873949856836,0.04870096311956762,50
model_1_all_mpnet_base_v2,1,real_minus_random,0.8087855297157622,0.7255109231853418,0.02725920505978647,0.0832746065304204,50
model_1_all_mpnet_base_v2,2,real_minus_random,0.7392529950669484,0.7116936809960065,0.032246748213643275,0.02755931407094192,50
model_1_all_mpnet_base_v2,3,real_minus_random,0.8071411792342025,0.7275217289170777,0.02162794498473023,0.0796194503171248,50
model_1_all_mpnet_base_v2,4,real_minus_random,0.7845900869156682,0.7340709419779188,0.02384767648275675,0.05051914493774945,50
model_1_all_mpnet_base_v2,5,real_minus_random,0.7695560253699789,0.7123655156213298,0.0247290817354086,0.05719050974864914,50
model_1_all_mpnet_base_v2,6,real_minus_random,0.757810664787409,0.7218040873854829,0.02198472936315107,0.03600657740192614,50
model_1_all_mpnet_base_v2,7,real_minus_random,0.796805261921541,0.717495889123796,0.02782714818709363,0.07930937279774497,50
model_1_all_mpnet_base_v2,8,real_minus_random,0.737138830162086,0.7122339675828048,0.02335675317582257,0.02490486257928126,50
model_1_all_mpnet_base_v2,9,real_minus_random,0.7528776133427296,0.7025416960300683,0.02624515356268478,0.050335917312661294,50
model_1_all_mpnet_base_v2,10,real_minus_random,0.797509983556495,0.7311299036880433,0.02674652037360864,0.06638007986845174,50
model_2_bge_large_en_v1_5,1,d_delta_minus_fake,-0.04134366925064592,0.06315245478036176,0.021255406696322705,-0.10449612403100768,50
model_2_bge_large_en_v1_5,2,d_delta_minus_fake,-0.02466525722339663,0.060840967817712,0.018722393189839807,-0.08550622504110864,50
model_2_bge_large_en_v1_5,3,d_delta_minus_fake,0.0014094432699083281,0.06662438336856942,0.01719966143666568,-0.06521494009866109,50
model_2_bge_large_en_v1_5,4,d_delta_minus_fake,0.0,0.05710124500822175,0.016068642890181326,-0.05710124500822175,50
model_2_bge_large_en_v1_5,5,d_delta_minus_fake,0.000234907211651314,0.05562602771905098,0.01287304817075848,-0.055391120507399666,50
model_2_bge_large_en_v1_5,6,d_delta_minus_fake,-0.005637773079633757,0.0639464411557435,0.020982758070132786,-0.06958421423537725,50
model_2_bge_large_en_v1_5,7,d_delta_minus_fake,0.023255813953488413,0.0572938689217759,0.016028533652624737,-0.03403805496828749,50
model_2_bge_large_en_v1_5,8,d_delta_minus_fake,-0.024430350011745317,0.06194503171247357,0.016678867790978515,-0.08637538172421888,50
model_2_bge_large_en_v1_5,9,d_delta_minus_fake,-0.04063894761569187,0.07057082452431289,0.023473172794643216,-0.11120977214000476,50
model_2_bge_large_en_v1_5,10,d_delta_minus_fake,-0.012684989429175397,0.04740897345548507,0.013932963082286474,-0.06009396288466047,50
model_2_bge_large_en_v1_5,1,real_minus_matched,0.7939863753817242,0.7251726568005636,0.017145199380641574,0.06881371858116059,50
model_2_bge_large_en_v1_5,2,real_minus_matched,0.7096546863988724,0.665224336387127,0.0313392737293349,0.044430350011745445,50
model_2_bge_large_en_v1_5,3,real_minus_matched,0.7890533239370449,0.7307540521494009,0.013916221963811919,0.058299271787643936,50
model_2_bge_large_en_v1_5,4,real_minus_matched,0.7801268498942918,0.7014235377026072,0.017276232491412337,0.07870331219168458,50
model_2_bge_large_en_v1_5,5,real_minus_matched,0.7361992013154803,0.6780408738548275,0.02497824296649186,0.05815832746065286,50
model_2_bge_large_en_v1_5,6,real_minus_matched,0.7615691801738314,0.7049612403100776,0.011221834015158189,0.05660793986375379,50
model_2_bge_large_en_v1_5,7,real_minus_matched,0.7660324171952079,0.723363871270848,0.02099335366963304,0.04266854592435987,50
model_2_bge_large_en_v1_5,8,real_minus_matched,0.7639182522903453,0.6766220342964531,0.014237518354285805,0.0872962179938922,50
model_2_bge_large_en_v1_5,9,real_minus_matched,0.7587502936340146,0.7039887244538405,0.01617390036229827,0.05476156918017405,50
model_2_bge_large_en_v1_5,10,real_minus_matched,0.7615691801738312,0.7193328635189101,0.010200580673286204,0.04223631665492111,50
model_2_bge_large_en_v1_5,1,real_minus_random,0.7939863753817242,0.7086163965233732,0.029326659691636704,0.08536997885835107,50
model_2_bge_large_en_v1_5,2,real_minus_random,0.7096546863988724,0.6436598543575287,0.038764887749495554,0.06599483204134371,50
model_2_bge_large_en_v1_5,3,real_minus_random,0.7890533239370449,0.6728306319003993,0.03519452692776084,0.11622269203664559,50
model_2_bge_large_en_v1_5,4,real_minus_random,0.7801268498942918,0.6860324171952078,0.0259697402330748,0.09409443269908402,50
model_2_bge_large_en_v1_5,5,real_minus_random,0.7361992013154803,0.669072116513977,0.03511431277348761,0.06712708480150331,50
model_2_bge_large_en_v1_5,6,real_minus_random,0.7615691801738314,0.6828846605590791,0.028298792180145554,0.0786845196147522,50
model_2_bge_large_en_v1_5,7,real_minus_random,0.7660324171952079,0.710063424947146,0.03265028512319603,0.055968992248061844,50
model_2_bge_large_en_v1_5,8,real_minus_random,0.7639182522903453,0.6773455485083392,0.02795636355543573,0.0865727037820061,50
model_2_bge_large_en_v1_5,9,real_minus_random,0.7587502936340146,0.6579844961240309,0.03577880319441527,0.10076579750998371,50
model_2_bge_large_en_v1_5,10,real_minus_random,0.7615691801738312,0.686403570589617,0.027761656206609534,0.07516560958421425,50
