embedding_model,repeat,condition,draw_id,domain_variant,model_level,fusion_method,n,base_auc,augmented_auc,delta_auc,base_pr_auc,augmented_pr_auc,delta_pr_auc,base_brier,augmented_brier,delta_brier,base_log_loss,augmented_log_loss,delta_log_loss
model_1_all_mpnet_base_v2,1,fake_d,35,Fake-D,L3,early_concat,142,0.7098895936105237,0.7021376556260277,-0.007751937984496027,0.5550028805075209,0.5833674307152033,0.02836455020768236,0.20464764773190516,0.20351253459968777,0.0011351131322173968,0.6978126868480429,0.7164394764070897,-0.01862678955904684
model_1_all_mpnet_base_v2,1,fake_d,36,Fake-D,L3,early_concat,142,0.6772374911909795,0.7026074700493306,0.025369978858351017,0.5182664560005122,0.560093603508379,0.04182714750786676,0.21798719972779898,0.20835531110209185,0.00963188862570713,0.6398198446092529,0.6355833510812191,0.004236493528033791
model_1_all_mpnet_base_v2,1,fake_d,37,Fake-D,L3,early_concat,142,0.753112520554381,0.7263330984261216,-0.026779422128259456,0.6468907259518699,0.627298266180072,-0.01959245977179791,0.18727283964198319,0.1915693565227683,-0.004296516880785112,0.5807394205834255,0.6010624069511746,-0.020322986367749096
model_1_all_mpnet_base_v2,1,fake_d,38,Fake-D,L3,early_concat,142,0.6943857176415316,0.7042518205308902,0.00986610288935863,0.553636512758011,0.5821387598224088,0.028502247064397856,0.20422860466268278,0.203647525359765,0.0005810793029177863,0.6592292966874721,0.6594012995779679,-0.00017200289049579265
model_1_all_mpnet_base_v2,1,fake_d,39,Fake-D,L3,early_concat,142,0.6988489546629081,0.7275076344843787,0.028658679821470634,0.5170312236084308,0.5386516744194119,0.021620450810981073,0.21446968759287308,0.2023547706072494,0.01211491698562367,0.6285526447635706,0.6106561713122429,0.01789647345132772
model_1_all_mpnet_base_v2,1,fake_d,40,Fake-D,L3,early_concat,142,0.7397228094902513,0.7272727272727274,-0.012450082217523861,0.6290676408304431,0.6410034833449296,0.011935842514486539,0.18549900253392398,0.18928424763157012,-0.003785245097646134,0.563486141161342,0.5905549443214693,-0.027068803160127275
model_1_all_mpnet_base_v2,1,fake_d,41,Fake-D,L3,early_concat,142,0.6882781301385953,0.7115339440920837,0.023255813953488413,0.5758531529582522,0.5801740700555078,0.004320917097255572,0.2048280457552418,0.1989993101472059,0.005828735608035901,0.6044958986505461,0.594898322494682,0.009597576155864096
model_1_all_mpnet_base_v2,1,fake_d,42,Fake-D,L3,early_concat,142,0.6927413671599718,0.7019027484143764,0.009161381254404577,0.49791599174875967,0.5261203433156327,0.028204351566873065,0.21038496451604413,0.2031889872670751,0.007195977248969032,0.6104609573371638,0.6131115120662495,-0.002650554729085708
model_1_all_mpnet_base_v2,1,fake_d,43,Fake-D,L3,early_concat,142,0.6960300681230913,0.706365985435753,0.010335917312661702,0.5464879142313845,0.5903784675121628,0.04389055328077829,0.20443714239727434,0.20028733803846907,0.00414980435880527,0.6022163491732271,0.5946194013500578,0.007596947823169331
model_1_all_mpnet_base_v2,1,fake_d,44,Fake-D,L3,early_concat,142,0.6941508104298801,0.704721634954193,0.010570824524312905,0.4831249399278682,0.5407723483435354,0.05764740841566718,0.2082412674174689,0.20243206230160798,0.005809205115860916,0.6836027478893909,0.6821847039697667,0.00141804391962419
model_1_all_mpnet_base_v2,1,fake_d,45,Fake-D,L3,early_concat,142,0.7011980267794221,0.7080103359173127,0.006812309137890549,0.5103913979730579,0.5457925993956765,0.0354012014226186,0.20684009313590185,0.2047120309690355,0.00212806216686634,0.6202809894935384,0.6174628348351107,0.0028181546584277184
model_1_all_mpnet_base_v2,1,fake_d,46,Fake-D,L3,early_concat,142,0.7167019027484145,0.7376086445853889,0.020906741836974385,0.5563651732544268,0.5684279790084926,0.01206280575406582,0.2025709428746709,0.19097628497377972,0.011594657900891175,0.6179201663783689,0.6023727209416899,0.015547445436678964
model_1_all_mpnet_base_v2,1,fake_d,47,Fake-D,L3,early_concat,142,0.6539816772374911,0.6929762743716232,0.038994597134132114,0.5597036335735439,0.5890106337968893,0.029307000223345425,0.20865162110615276,0.20151220050710542,0.007139420599047347,0.6035263592014762,0.5989582799108882,0.004568079290588001
model_1_all_mpnet_base_v2,1,fake_d,48,Fake-D,L3,early_concat,142,0.7101245008221753,0.7284472633309843,0.018322762508809043,0.4725449236735777,0.5086123246722816,0.03606740099870387,0.20740872339142705,0.20072489936292948,0.00668382402849757,0.601594500559726,0.6135031068211833,-0.011908606261457289
