representation,repeat,outer_fold,draw,draw_type,partition,inner_fold,assignment_type,recipient_n,random_reference_n,mean_distance,median_distance,q95_distance,max_distance,total_cost,random_distance_q05,optimal_distance_random_percentile,n_features_mean_abs_paired_diff_lt_0_50,no_self,one_to_one,matching_adequate,max_abs_smd_descriptive,mean_abs_standardized_paired_difference__interviewer_word_count,mean_abs_standardized_paired_difference__interviewer_turn_count,mean_abs_standardized_paired_difference__clinical_question_count,mean_abs_standardized_paired_difference__clinical_prompt_coverage_count,mean_abs_standardized_paired_difference__non_explicit_interviewer_turn_count,mean_abs_standardized_paired_difference__d_p_domain_breadth,mean_abs_standardized_paired_difference__d_p_total_evidence_count
tfidf,3,4,0,optimal_matched,outer_train_inner_validation,2,optimal_matched,38,100,1.8930944137049395,1.4774958018702982,4.671992913129329,5.629026049056372,194.83470988273822,3.422747725680144,0.009900990099009901,1,True,True,False,2.337311630789803e-17,0.648630558340672,0.5958923673166501,0.5567056304751025,0.5980585342910149,0.5931316069713342,0.4391489063502337,0.6894402723487744
tfidf,3,4,0,optimal_matched,outer_train_inner_validation,3,optimal_matched,38,100,1.634173640730826,1.2768784673357132,3.9011041477335597,5.933702103640867,161.06993980690842,3.250862744784379,0.009900990099009901,3,True,True,False,1.1686558153949016e-17,0.6216118409004602,0.4921597317536373,0.5550028051073632,0.582964037329089,0.47067909942297853,0.32304318689619843,0.5489270144487945
tfidf,3,5,0,optimal_matched,outer_train_inner_validation,1,optimal_matched,38,100,1.494031294145836,1.2170722114699482,2.789533009490791,3.3291122186584885,105.84346468073787,3.2636564151500687,0.009900990099009901,6,True,True,True,1.1686558153949016e-17,0.4800603081458344,0.4376672654032573,0.42893885404114135,0.44367484309744154,0.4663747872338485,0.38801550329278306,0.661122412134891
tfidf,3,5,0,optimal_matched,outer_train_inner_validation,2,optimal_matched,38,100,1.264906415720376,1.1627118489693846,2.0950152919775604,2.2840392679254284,70.35228060502827,2.9531682935364407,0.009900990099009901,5,True,True,True,1.6069017461679898e-17,0.2909670680920547,0.22105445163500173,0.3625449903502759,0.412052538216686,0.23196637358247615,0.5588283785085597,0.5414253649287581
tfidf,3,5,0,optimal_matched,outer_train_inner_validation,3,optimal_matched,38,100,1.691677078640232,1.3962659421391865,3.313137058860809,8.05354159341557,203.58393904841148,3.5073308324728134,0.009900990099009901,3,True,True,False,5.258951169277057e-17,0.633072691134773,0.5906879745463128,0.5005008597089219,0.49174062624238696,0.5768269127686587,0.4652484975321822,0.45966195746112887
tfidf,4,1,0,optimal_matched,outer_train_inner_validation,1,optimal_matched,38,100,1.3678892768324138,1.0047916148480895,2.5553466885193874,4.163870980304536,102.23865168968885,2.8414594668053694,0.009900990099009901,7,True,True,True,1.1686558153949016e-17,0.39795441008793103,0.474615661231765,0.3415440739464321,0.3081910993762277,0.49566005824350884,0.3688073643933353,0.4723738782498001
tfidf,4,1,0,optimal_matched,outer_train_inner_validation,2,optimal_matched,38,100,1.2455691730614311,1.0710607424691245,2.609393789712288,3.14092524665573,76.34267621861808,2.5803885345627693,0.009900990099009901,6,True,True,True,5.843279076974508e-18,0.48163332044270585,0.2924698142512683,0.3143537110647035,0.2423212773371968,0.288242968112587,0.5173281865533116,0.49560789897117974
tfidf,4,1,0,optimal_matched,outer_train_inner_validation,3,optimal_matched,37,100,1.4142459794064213,1.3350932134360085,2.1178585381711477,2.3147533694619593,80.90900143158098,4.044252003520714,0.009900990099009901,5,True,True,True,1.050210969240013e-17,0.3880661764900039,0.302917722776025,0.2911575443491417,0.3584186683831029,0.31865877458057484,0.6430901670892567,0.6087889974933859
tfidf,4,2,0,optimal_matched,outer_train_inner_validation,1,optimal_matched,38,100,1.8822353488316594,1.5603607118158636,4.055833428804685,6.075965511239998,191.31406860319711,3.5282472535904383,0.009900990099009901,2,True,True,False,2.921639538487254e-17,0.7785143787461045,0.5002646785081695,0.6003996064204526,0.5554167568036995,0.48934095069348504,0.6496977442914633,0.4430360879032379
tfidf,4,2,0,optimal_matched,outer_train_inner_validation,2,optimal_matched,38,100,1.350267365251523,1.314023046457609,2.1039241003954356,2.739421700923033,79.91175052546934,2.835950185899931,0.009900990099009901,7,True,True,True,1.7529837230923523e-17,0.400040605031621,0.3431199593597363,0.46070132389831064,0.44455349233814484,0.34007271163405245,0.49999496535382204,0.42459161640308685
tfidf,4,2,0,optimal_matched,outer_train_inner_validation,3,optimal_matched,37,100,1.7340551958381873,1.2936306244117206,3.8019013620688638,6.893017094065313,187.2572175154305,3.1591244519827684,0.009900990099009901,3,True,True,False,1.950391800017167e-17,0.6926670454629397,0.6233162555979173,0.38329567948403803,0.4644543718259677,0.6522491344729696,0.3875674293843036,0.5262203264688741
tfidf,4,3,0,optimal_matched,outer_train_inner_validation,1,optimal_matched,38,100,1.5288802592573032,1.4471310596763558,2.8003629608127825,5.628140962886765,136.03583498485494,3.285710542922862,0.009900990099009901,5,True,True,True,1.460819769243627e-17,0.567133678242029,0.46694613008179503,0.5428790040431685,0.44858355682111306,0.46560343314280467,0.4276686017238499,0.4172550302976069
tfidf,4,3,0,optimal_matched,outer_train_inner_validation,2,optimal_matched,38,100,1.6646618496635412,1.1569696492626442,3.739417887323631,7.09177201803739,188.41377619219026,3.467994138465717,0.009900990099009901,5,True,True,True,3.7981314000334304e-17,0.8670605780384144,0.4911685040356704,0.37467624832710866,0.46165185034582923,0.5214457915583651,0.3836809101689346,0.43066483046795534
tfidf,4,3,0,optimal_matched,outer_train_inner_validation,3,optimal_matched,38,100,1.373021458599264,1.2210998109390845,2.367018330712964,2.463185579294263,84.57629638057823,2.664542801309827,0.009900990099009901,5,True,True,True,2.0451476769410777e-17,0.5008133391591209,0.4067853240764556,0.3361421087558703,0.25578919026144203,0.41614537669984786,0.3769798910152687,0.5146302445282057
tfidf,4,4,0,optimal_matched,outer_train_inner_validation,1,optimal_matched,38,100,1.4703531021353584,1.4022517052451025,3.0403054584220714,3.2030506979618267,99.15317490871753,3.0142696760449823,0.009900990099009901,5,True,True,True,2.921639538487254e-17,0.5666475113497916,0.3706272947447377,0.42765617235147285,0.4022743535884211,0.3882015952638679,0.528783179087078,0.4142800278844872
tfidf,4,4,0,optimal_matched,outer_train_inner_validation,2,optimal_matched,38,100,1.6781068901971026,1.1048040525380325,4.197080039090247,7.146620639639753,196.8574451167358,3.5415232430931822,0.009900990099009901,2,True,True,False,8.764918615461762e-18,0.6369475445436755,0.6516870695613863,0.547780785598405,0.5257155696161646,0.662962732521915,0.27791978411199547,0.34081749879177786
tfidf,4,4,0,optimal_matched,outer_train_inner_validation,3,optimal_matched,38,100,1.5130532828247911,1.3288805053630077,3.1103352346775246,4.377060432704965,124.18147376904643,3.126216922823082,0.009900990099009901,5,True,True,True,2.337311630789803e-17,0.4780693263793105,0.5670713966889016,0.3395068928666022,0.32898326511548104,0.6067982474840224,0.46403174464518154,0.48093791792760265
tfidf,4,5,0,optimal_matched,outer_train_inner_validation,1,optimal_matched,38,100,1.683631378104128,1.508412992792405,3.0599871681889454,3.8715484538674967,133.2428511905513,3.74716873330531,0.009900990099009901,3,True,True,False,1.7529837230923523e-17,0.40859812990406874,0.5064942345240823,0.40961113889942125,0.4420149715374308,0.5153478430708394,0.6101661556659209,0.7263778376394197
tfidf,4,5,0,optimal_matched,outer_train_inner_validation,2,optimal_matched,38,100,1.7373734007299964,1.25583154757066,4.644678701651612,8.694844123177845,238.3367771646923,3.103859874085043,0.009900990099009901,3,True,True,False,2.337311630789803e-17,0.809665058769151,0.5452287327992015,0.40298417691305854,0.4246038878042235,0.5300077227724278,0.5302960403484951,0.3713318906126661
tfidf,4,5,0,optimal_matched,outer_train_inner_validation,3,optimal_matched,38,100,1.2963314757676996,1.2426921479672817,2.5870232987225346,2.599436640583188,81.87387482649777,2.8627730292990785,0.009900990099009901,6,True,True,True,1.460819769243627e-17,0.5501987319841842,0.45337861515127753,0.24751184411186442,0.2631525513750869,0.48235759196598144,0.3351654580860611,0.3992219989055339
tfidf,5,1,0,optimal_matched,outer_train_inner_validation,1,optimal_matched,38,100,1.711528973041866,1.2682281062586789,4.193185152305434,6.556514030935833,183.81505569628843,3.5579467209204028,0.009900990099009901,1,True,True,False,1.7529837230923523e-17,0.6134049406762706,0.5003655016339653,0.5720523421960464,0.6552585339551387,0.5076835456650585,0.5373631971987249,0.4618938137057468
tfidf,5,1,0,optimal_matched,outer_train_inner_validation,2,optimal_matched,38,100,1.6191922479782956,1.4489509450667155,2.6138831077608367,3.1076962097434984,113.99392779382772,3.0604397750660004,0.009900990099009901,3,True,True,False,1.7529837230923523e-17,0.6862973515279561,0.5190737907748613,0.4569944875531085,0.44412613827776326,0.5249774621906674,0.5041190974848166,0.4384918409650177
tfidf,5,1,0,optimal_matched,outer_train_inner_validation,3,optimal_matched,37,100,1.459676104515359,1.2619474500480654,2.8584573479077555,3.472087610268996,101.9939469513661,2.9449400161129575,0.009900990099009901,6,True,True,True,7.50150692314295e-18,0.5488068875020378,0.3636640081398317,0.45496238680816536,0.3923940698098393,0.40107180044121093,0.4525397645796703,0.4995052583043327
tfidf,5,2,0,optimal_matched,outer_train_inner_validation,1,optimal_matched,38,100,1.6864465374503985,1.033818751445832,4.080544302619191,5.842985472910827,173.72234785221946,3.2669857518856573,0.009900990099009901,1,True,True,False,2.6294755846385285e-17,0.6394331886404586,0.5054077676581611,0.5242693081694831,0.5240063376691324,0.5338930222471812,0.3501957189841858,0.5636516515818443
tfidf,5,2,0,optimal_matched,outer_train_inner_validation,2,optimal_matched,38,100,1.6701114235590027,1.2218591070301579,4.058785751563432,7.354929923463003,194.6575745638797,3.223841262343782,0.009900990099009901,1,True,True,False,1.1686558153949016e-17,0.6459028873341522,0.5048200419792368,0.5777220995255865,0.5155236723192944,0.5296411592461115,0.5442239540368297,0.39613402189888847
tfidf,5,2,0,optimal_matched,outer_train_inner_validation,3,optimal_matched,37,100,1.3297430658805673,1.1521533649542322,2.4007592523931565,2.5360185651943485,78.27295454023249,2.8635383511102432,0.009900990099009901,6,True,True,True,2.250452076942885e-17,0.4255039835042791,0.3818954193427405,0.30796378390246526,0.22439236684011507,0.3873021603401073,0.6156412449220152,0.4216873328702277
tfidf,5,3,0,optimal_matched,outer_train_inner_validation,1,optimal_matched,38,100,1.6485071635423296,1.26265994003916,3.534289522666254,6.0315654272767585,164.4390300206651,3.5175743476189996,0.009900990099009901,4,True,True,False,1.7529837230923523e-17,0.6599265595088685,0.34722832054478553,0.4637254298813714,0.5012100109655354,0.35256718712196394,0.5885056127401137,0.49954886809804444
tfidf,5,3,0,optimal_matched,outer_train_inner_validation,2,optimal_matched,38,100,1.5384117886377056,1.152942267753449,3.3335907259224813,7.452125137069231,174.1739253731968,3.048767189956756,0.009900990099009901,3,True,True,False,1.844284958670079e-17,0.5827047017562726,0.5137807210344812,0.4007880369419162,0.35934143652556877,0.5164829196522156,0.5239457191345137,0.464519025269332
tfidf,5,3,0,optimal_matched,outer_train_inner_validation,3,optimal_matched,38,100,1.4888723232891363,1.2642402364810814,3.0491092195372658,4.512388671277665,113.48592169025628,2.8966875895221382,0.009900990099009901,6,True,True,True,1.460819769243627e-17,0.488424674595027,0.43435651059247304,0.2713568971803466,0.25543075805554155,0.4654097362601181,0.4431067606145036,0.5828601139974507
tfidf,5,4,0,optimal_matched,outer_train_inner_validation,1,optimal_matched,38,100,1.374958510484124,1.0339454324716792,2.5817865178331094,6.078856118602526,127.13841716044479,2.717583394683289,0.009900990099009901,5,True,True,True,1.460819769243627e-17,0.4798233805282058,0.29535289408909643,0.4335540415325237,0.4192419556418566,0.3040592497826816,0.5148934370248599,0.5103569646381271
tfidf,5,4,0,optimal_matched,outer_train_inner_validation,2,optimal_matched,38,100,1.3942183547552,1.4394475291787339,2.3000869568705142,2.65777567771249,86.31338612909232,2.9323673535230124,0.009900990099009901,4,True,True,False,1.8990657000167152e-17,0.5046580411615859,0.5070884015318599,0.2788834743879214,0.3014901096398028,0.5434926521236969,0.38257976821889983,0.47376381332402084
