record_type,representation,repeat,outer_fold,draw,partition,assignment_type,recipient_id,donor_id,self_match,one_to_one,standardized_euclidean_distance,abs_standardized_pair_difference__interviewer_word_count,abs_standardized_pair_difference__interviewer_turn_count,abs_standardized_pair_difference__clinical_question_count,abs_standardized_pair_difference__clinical_prompt_coverage_count,abs_standardized_pair_difference__non_explicit_interviewer_turn_count,abs_standardized_pair_difference__d_p_domain_breadth,abs_standardized_pair_difference__d_p_total_evidence_count
pairwise,tfidf,1,3,1,outer_test,random_mismatch,356,489,False,True,3.7993430871273897,1.8910350787507875,0.05654900348174989,0.5028079891392175,0.5291632919403884,0.11959966328674544,2.337017673762987,2.2015928516471037
pairwise,tfidf,1,3,1,outer_test,random_mismatch,367,475,False,True,3.7040428075489342,0.4792946052133332,0.16964701044524966,1.005615978278435,1.0583265838807767,0.05979983164337272,2.337017673762987,2.421752136811814
pairwise,tfidf,1,3,1,outer_test,random_mismatch,371,367,False,True,4.358551954773706,1.6557449998278784,1.017882062671498,0.5028079891392175,0.5291632919403884,1.0165971379373362,2.337017673762987,2.862070707141235
pairwise,tfidf,1,3,1,outer_test,random_mismatch,380,356,False,True,2.870343456825554,1.4030260261699392,0.3392940208904993,0.5028079891392175,0.5291632919403884,0.41859882150360905,1.7527632553222403,1.5411149961529726
pairwise,tfidf,1,3,1,outer_test,random_mismatch,383,307,False,True,1.5971384644605815,0.9150169735890907,0.6220390382992488,0.5028079891392175,0.5291632919403884,0.5979983164337273,0.0,0.6604778554941311
pairwise,tfidf,1,3,1,outer_test,random_mismatch,393,491,False,True,3.130121506327635,1.0631625788368484,1.1309800696349979,1.5084239674176525,1.587489875821165,1.0165971379373362,1.1685088368814935,0.44031857032942073
pairwise,tfidf,1,3,1,outer_test,random_mismatch,395,446,False,True,2.1279587241491593,1.0108758946317573,0.8482350522262483,0.5028079891392175,0.5291632919403884,0.8371976430072181,0.5842544184407468,1.1007964258235519
pairwise,tfidf,1,3,1,outer_test,random_mismatch,397,338,False,True,2.8390451369897423,2.274470762921454,0.7916860487444984,0.0,0.0,0.8371976430072181,1.1685088368814935,0.44031857032942073
pairwise,tfidf,1,3,1,outer_test,random_mismatch,425,383,False,True,3.3055582131724988,0.30500565786303024,0.6220390382992488,2.01123195655687,2.1166531677615534,0.8969974746505908,0.5842544184407468,0.8806371406588415
pairwise,tfidf,1,3,1,outer_test,random_mismatch,430,371,False,True,2.848858631429561,0.5054379473158787,0.5654900348174989,1.5084239674176525,1.587489875821165,0.7773978113638453,1.1685088368814935,0.8806371406588415
pairwise,tfidf,1,3,1,outer_test,random_mismatch,436,344,False,True,3.394330592281386,0.13071671051272724,1.8661171148977462,0.0,0.5291632919403884,1.9733944442312998,1.7527632553222403,0.8806371406588415
