representation,repeat,prediction_scope,metric,estimate,r2,delta_mse,mae,rmse,spearman_rho,target_mse,null_mse,r2_defined,n_participants,interpretation_scope
mpnet,2,outer_test,rmse,0.5875338570838529,0.0035611591191033742,0.0012336913728617227,0.3675160953459423,0.5875338570838529,0.04963645456842758,0.3451960332198293,0.346429724592691,True,142,label_only_common_outcome_alignment_benchmark
mpnet,2,outer_test,spearman_rho,0.04963645456842758,0.0035611591191033742,0.0012336913728617227,0.3675160953459423,0.5875338570838529,0.04963645456842758,0.3451960332198293,0.346429724592691,True,142,label_only_common_outcome_alignment_benchmark
mpnet,3,outer_test,r2,0.006440899501289676,0.006440899501289676,0.0020435260345063044,0.3395295681841834,0.5614533518532229,0.369670408732292,0.31522986630721894,0.31727339234172525,True,142,label_only_common_outcome_alignment_benchmark
mpnet,3,outer_test,delta_mse,0.0020435260345063044,0.006440899501289676,0.0020435260345063044,0.3395295681841834,0.5614533518532229,0.369670408732292,0.31522986630721894,0.31727339234172525,True,142,label_only_common_outcome_alignment_benchmark
mpnet,3,outer_test,mae,0.3395295681841834,0.006440899501289676,0.0020435260345063044,0.3395295681841834,0.5614533518532229,0.369670408732292,0.31522986630721894,0.31727339234172525,True,142,label_only_common_outcome_alignment_benchmark
mpnet,3,outer_test,rmse,0.5614533518532229,0.006440899501289676,0.0020435260345063044,0.3395295681841834,0.5614533518532229,0.369670408732292,0.31522986630721894,0.31727339234172525,True,142,label_only_common_outcome_alignment_benchmark
mpnet,3,outer_test,spearman_rho,0.369670408732292,0.006440899501289676,0.0020435260345063044,0.3395295681841834,0.5614533518532229,0.369670408732292,0.31522986630721894,0.31727339234172525,True,142,label_only_common_outcome_alignment_benchmark
mpnet,4,outer_test,r2,-0.029852104069333807,-0.029852104069333807,-0.004716082654392939,0.26051175945644983,0.4033579868743115,0.20215159678693226,0.16269766557529725,0.1579815829209043,True,142,label_only_common_outcome_alignment_benchmark
mpnet,4,outer_test,delta_mse,-0.004716082654392939,-0.029852104069333807,-0.004716082654392939,0.26051175945644983,0.4033579868743115,0.20215159678693226,0.16269766557529725,0.1579815829209043,True,142,label_only_common_outcome_alignment_benchmark
mpnet,4,outer_test,mae,0.26051175945644983,-0.029852104069333807,-0.004716082654392939,0.26051175945644983,0.4033579868743115,0.20215159678693226,0.16269766557529725,0.1579815829209043,True,142,label_only_common_outcome_alignment_benchmark
mpnet,4,outer_test,rmse,0.4033579868743115,-0.029852104069333807,-0.004716082654392939,0.26051175945644983,0.4033579868743115,0.20215159678693226,0.16269766557529725,0.1579815829209043,True,142,label_only_common_outcome_alignment_benchmark
mpnet,4,outer_test,spearman_rho,0.20215159678693226,-0.029852104069333807,-0.004716082654392939,0.26051175945644983,0.4033579868743115,0.20215159678693226,0.16269766557529725,0.1579815829209043,True,142,label_only_common_outcome_alignment_benchmark
mpnet,5,outer_test,r2,0.052158597999477196,0.052158597999477196,0.026703695056236598,0.5298023785494735,0.6966113765974469,0.28662561401647724,0.48526741000498996,0.5119711050612266,True,142,label_only_common_outcome_alignment_benchmark
mpnet,5,outer_test,delta_mse,0.026703695056236598,0.052158597999477196,0.026703695056236598,0.5298023785494735,0.6966113765974469,0.28662561401647724,0.48526741000498996,0.5119711050612266,True,142,label_only_common_outcome_alignment_benchmark
mpnet,5,outer_test,mae,0.5298023785494735,0.052158597999477196,0.026703695056236598,0.5298023785494735,0.6966113765974469,0.28662561401647724,0.48526741000498996,0.5119711050612266,True,142,label_only_common_outcome_alignment_benchmark
mpnet,5,outer_test,rmse,0.6966113765974469,0.052158597999477196,0.026703695056236598,0.5298023785494735,0.6966113765974469,0.28662561401647724,0.48526741000498996,0.5119711050612266,True,142,label_only_common_outcome_alignment_benchmark
mpnet,5,outer_test,spearman_rho,0.28662561401647724,0.052158597999477196,0.026703695056236598,0.5298023785494735,0.6966113765974469,0.28662561401647724,0.48526741000498996,0.5119711050612266,True,142,label_only_common_outcome_alignment_benchmark
mpnet,6,outer_test,r2,-0.002480435300674877,-0.002480435300674877,-3.798115118879182e-05,0.06118003024341579,0.12389622184419823,0.1011391317397171,0.015350273787266782,0.01531229263607799,True,142,label_only_common_outcome_alignment_benchmark
mpnet,6,outer_test,delta_mse,-3.798115118879182e-05,-0.002480435300674877,-3.798115118879182e-05,0.06118003024341579,0.12389622184419823,0.1011391317397171,0.015350273787266782,0.01531229263607799,True,142,label_only_common_outcome_alignment_benchmark
mpnet,6,outer_test,mae,0.06118003024341579,-0.002480435300674877,-3.798115118879182e-05,0.06118003024341579,0.12389622184419823,0.1011391317397171,0.015350273787266782,0.01531229263607799,True,142,label_only_common_outcome_alignment_benchmark
