representation,repeat,metric,block,estimate,interpretation_scope
tfidf,5,residual_delta_auc,,0.0037585153864223564,repeat_stability_not_independent_samples
tfidf,6,residual_delta_auc,,0.013154803852478247,repeat_stability_not_independent_samples
tfidf,7,residual_delta_auc,,-0.007282123561193288,repeat_stability_not_independent_samples
tfidf,8,residual_delta_auc,,-0.029598308668076,repeat_stability_not_independent_samples
tfidf,9,residual_delta_auc,,0.0046981442330278345,repeat_stability_not_independent_samples
tfidf,10,residual_delta_auc,,0.00046981442330285006,repeat_stability_not_independent_samples
bge,1,pairing_full_control_delta_auc,,0.042518205308902934,pairing_dependence_full_control_primary
bge,2,pairing_full_control_delta_auc,,0.01127554615926707,pairing_dependence_full_control_primary
bge,3,pairing_full_control_delta_auc,,-0.024195442800094003,pairing_dependence_full_control_primary
bge,4,pairing_full_control_delta_auc,,0.1989664082687339,pairing_dependence_full_control_primary
bge,5,pairing_full_control_delta_auc,,-0.02255109231853414,pairing_dependence_full_control_primary
bge,6,pairing_full_control_delta_auc,,0.01714822645055203,pairing_dependence_full_control_primary
bge,7,pairing_full_control_delta_auc,,-0.030068123091378962,pairing_dependence_full_control_primary
bge,8,pairing_full_control_delta_auc,,0.0007047216349542751,pairing_dependence_full_control_primary
bge,9,pairing_full_control_delta_auc,,0.18346253229974163,pairing_dependence_full_control_primary
bge,10,pairing_full_control_delta_auc,,0.04040404040404044,pairing_dependence_full_control_primary
mpnet,1,pairing_full_control_delta_auc,,-0.03922950434578354,pairing_dependence_full_control_primary
mpnet,2,pairing_full_control_delta_auc,,-0.10899694620624845,pairing_dependence_full_control_primary
mpnet,3,pairing_full_control_delta_auc,,0.0009396288466054781,pairing_dependence_full_control_primary
mpnet,4,pairing_full_control_delta_auc,,0.007047216349541974,pairing_dependence_full_control_primary
mpnet,5,pairing_full_control_delta_auc,,0.056142823584684254,pairing_dependence_full_control_primary
mpnet,6,pairing_full_control_delta_auc,,0.18487197556964996,pairing_dependence_full_control_primary
mpnet,7,pairing_full_control_delta_auc,,-0.064012215175006,pairing_dependence_full_control_primary
mpnet,8,pairing_full_control_delta_auc,,-0.02020202020202022,pairing_dependence_full_control_primary
mpnet,9,pairing_full_control_delta_auc,,0.03194738078459014,pairing_dependence_full_control_primary
mpnet,10,pairing_full_control_delta_auc,,-0.03100775193798433,pairing_dependence_full_control_primary
tfidf,1,pairing_full_control_delta_auc,,-0.001174536058256903,pairing_dependence_full_control_primary
tfidf,2,pairing_full_control_delta_auc,,0.019262391355414632,pairing_dependence_full_control_primary
tfidf,3,pairing_full_control_delta_auc,,-0.0025839793281653423,pairing_dependence_full_control_primary
tfidf,4,pairing_full_control_delta_auc,,0.01127554615926707,pairing_dependence_full_control_primary
tfidf,5,pairing_full_control_delta_auc,,0.008456659619450302,pairing_dependence_full_control_primary
tfidf,6,pairing_full_control_delta_auc,,0.000234907211651314,pairing_dependence_full_control_primary
tfidf,7,pairing_full_control_delta_auc,,0.00046981442330285006,pairing_dependence_full_control_primary
tfidf,8,pairing_full_control_delta_auc,,-0.009866102889358741,pairing_dependence_full_control_primary
tfidf,9,pairing_full_control_delta_auc,,-0.014564247122386687,pairing_dependence_full_control_primary
tfidf,10,pairing_full_control_delta_auc,,0.00399342259807367,pairing_dependence_full_control_primary
tfidf,1,real_D_minus_fake_D_r2,D,0.021330643783978753,real_D_vs_fake_D_negative_control
