representation,repeat,draw,domain_type,r2,mae,rmse,spearman_rho,mse_improvement,target_mse,null_mse,interpretation_scope
tfidf,1,54,fake,0.7566057614224949,0.18800797960124982,0.23355783634312316,0.8875963712643365,0.7566057614224949,0.0545492629172811,0.22411895711290938,real_D_vs_fake_D_negative_control
tfidf,1,55,fake,0.7607983728369564,0.18714875585484042,0.23153751147382642,0.892487494525253,0.7607983728369564,0.053609619219492304,0.22411895711290938,real_D_vs_fake_D_negative_control
tfidf,1,56,fake,0.764101521705746,0.185769904487423,0.2299332967184842,0.8976342806130041,0.764101521705746,0.052869320939830496,0.22411895711290938,real_D_vs_fake_D_negative_control
tfidf,1,57,fake,0.766917892960921,0.18605875280958833,0.2285565985730403,0.8985982552059867,0.766917892960921,0.05223811875127789,0.22411895711290938,real_D_vs_fake_D_negative_control
tfidf,1,58,fake,0.7550228557014336,0.18960045574861276,0.23431607306519417,0.8897129241750159,0.7550228557014336,0.054904022096693414,0.22411895711290938,real_D_vs_fake_D_negative_control
tfidf,1,59,fake,0.7662029084358114,0.18474226535708413,0.22890688136750573,0.9009201766169104,0.7662029084358114,0.05239836033739734,0.22411895711290938,real_D_vs_fake_D_negative_control
tfidf,1,60,fake,0.7533966605499708,0.19081221061244166,0.23509249936589072,0.888338212581545,0.7533966605499708,0.055268483258101325,0.22411895711290938,real_D_vs_fake_D_negative_control
tfidf,1,61,fake,0.7578406093862449,0.1878939995113329,0.2329646112169238,0.891850433055108,0.7578406093862449,0.05427251007945246,0.22411895711290938,real_D_vs_fake_D_negative_control
tfidf,1,62,fake,0.7637652038898362,0.18396734115591631,0.23009714500182463,0.895291403232668,0.7637652038898362,0.0529446961379907,0.22411895711290938,real_D_vs_fake_D_negative_control
tfidf,1,63,fake,0.7551367636621533,0.19079564955322115,0.23426159131050497,0.8948555190688845,0.7551367636621533,0.054878493163330065,0.22411895711290938,real_D_vs_fake_D_negative_control
tfidf,1,64,fake,0.7615770014939558,0.1858726377198166,0.23116036376703375,0.8918881538000508,0.7615770014939558,0.05343511377690737,0.22411895711290938,real_D_vs_fake_D_negative_control
tfidf,1,65,fake,0.7606649246403641,0.18609525002663344,0.2316020886998673,0.8972612643574586,0.7606649246403641,0.0536395274901412,0.22411895711290938,real_D_vs_fake_D_negative_control
tfidf,1,66,fake,0.756432625810398,0.18973329609254283,0.23364089087765297,0.8909493263703634,0.756432625810398,0.05458806589010334,0.22411895711290938,real_D_vs_fake_D_negative_control
tfidf,1,67,fake,0.7618019770995268,0.18862192568960287,0.23105127673053652,0.8949812548853604,0.7618019770995268,0.05338469247881096,0.22411895711290938,real_D_vs_fake_D_negative_control
tfidf,1,68,fake,0.7543488202926191,0.19015212558195546,0.23463820279224373,0.8893818198582958,0.7543488202926191,0.0550550862095741,0.22411895711290938,real_D_vs_fake_D_negative_control
tfidf,1,69,fake,0.769393574552976,0.18443638470705256,0.2273395512767695,0.8984096514812727,0.769393574552976,0.05168327157472291,0.22411895711290938,real_D_vs_fake_D_negative_control
tfidf,1,70,fake,0.7646285233004732,0.18566987219951195,0.22967631547903106,0.8989167859410593,0.7646285233004732,0.05275120989202341,0.22411895711290938,real_D_vs_fake_D_negative_control
tfidf,1,71,fake,0.7639969775676466,0.18629775152484498,0.22998424133630024,0.8970768518266272,0.7639969775676466,0.0528927512630336,0.22411895711290938,real_D_vs_fake_D_negative_control
tfidf,1,72,fake,0.75925924074967,0.1869678965031297,0.2322812258830962,0.894059192231203,0.75925924074967,0.053954567897753956,0.22411895711290938,real_D_vs_fake_D_negative_control
