representation,repeat,source,n_participants,n_positive,n_negative,roc_auc,pr_auc,brier,log_loss,sensitivity_at_0_50,specificity_at_0_50,roc_auc_ci_low,pr_auc_ci_low,brier_ci_low,log_loss_ci_low,sensitivity_at_0_50_ci_low,specificity_at_0_50_ci_low,roc_auc_ci_high,pr_auc_ci_high,brier_ci_high,log_loss_ci_high,sensitivity_at_0_50_ci_high,specificity_at_0_50_ci_high,n_bootstrap,bootstrap_scope,interpretation_scope
bge,10,I,142,43,99,0.74958891237961,0.6392392179107151,0.20028735490139898,0.5889796867211748,0.6046511627906976,0.7575757575757576,,,,,,,,,,,,,0,not_run_repeat_gt_1,descriptive_source_model_performance_outer_test_only
mpnet,1,P,142,43,99,0.7174066243833684,0.5916545008682575,0.2198604025433196,0.6296521568076812,0.6744186046511628,0.7474747474747475,0.6128552971576228,0.47514346297333476,0.19969177789690334,0.579293627759951,0.5348837209302325,0.6565656565656566,0.8106647874089734,0.7151248945218488,0.24103196184993914,0.684819418770421,0.813953488372093,0.8282828282828283,5000,repeat_1_participant_stratified_bootstrap,descriptive_source_model_performance_outer_test_only
mpnet,1,I,142,43,99,0.7070707070707071,0.5481445734911797,0.22681036431889487,0.6458409593993361,0.7441860465116279,0.6868686868686869,0.6039346957951608,0.4351737392523053,0.2077301433725307,0.6033460696267552,0.6046511627906976,0.5959595959595959,0.802677942212826,0.6844488213049913,0.24744655480015265,0.6923838542453523,0.8604651162790697,0.7777777777777778,5000,repeat_1_participant_stratified_bootstrap,descriptive_source_model_performance_outer_test_only
mpnet,2,P,142,43,99,0.6746535118628142,0.5016457131164368,0.23342569792597376,0.6640771274577152,0.6744186046511628,0.6666666666666666,,,,,,,,,,,,,0,not_run_repeat_gt_1,descriptive_source_model_performance_outer_test_only
mpnet,2,I,142,43,99,0.7040169133192388,0.5129809018857489,0.2282505979984749,0.6489483597982337,0.7209302325581395,0.6767676767676768,,,,,,,,,,,,,0,not_run_repeat_gt_1,descriptive_source_model_performance_outer_test_only
mpnet,3,P,142,43,99,0.719990603711534,0.5700766833417017,0.22865679015625992,0.6491809908746382,0.6744186046511628,0.7272727272727273,,,,,,,,,,,,,0,not_run_repeat_gt_1,descriptive_source_model_performance_outer_test_only
mpnet,3,I,142,43,99,0.692271552736669,0.49142619354433215,0.23201662579412374,0.6573710637485477,0.7441860465116279,0.5555555555555556,,,,,,,,,,,,,0,not_run_repeat_gt_1,descriptive_source_model_performance_outer_test_only
mpnet,4,P,142,43,99,0.7371388301620861,0.6378958852301118,0.22563260464666726,0.643457051874141,0.6744186046511628,0.6868686868686869,,,,,,,,,,,,,0,not_run_repeat_gt_1,descriptive_source_model_performance_outer_test_only
mpnet,4,I,142,43,99,0.6610288935870331,0.44472415236414287,0.23767674148808757,0.6662035780344405,0.6744186046511628,0.5555555555555556,,,,,,,,,,,,,0,not_run_repeat_gt_1,descriptive_source_model_performance_outer_test_only
mpnet,5,P,142,43,99,0.7279774489076815,0.5652494366445971,0.21655634196516416,0.6256649504229864,0.627906976744186,0.7171717171717171,,,,,,,,,,,,,0,not_run_repeat_gt_1,descriptive_source_model_performance_outer_test_only
mpnet,5,I,142,43,99,0.7002583979328166,0.5013730722496701,0.21600803897608253,0.6218038749906946,0.6046511627906976,0.696969696969697,,,,,,,,,,,,,0,not_run_repeat_gt_1,descriptive_source_model_performance_outer_test_only
mpnet,6,P,142,43,99,0.74958891237961,0.6033745505246677,0.24001487089614104,0.673073907612417,0.6511627906976745,0.7878787878787878,,,,,,,,,,,,,0,not_run_repeat_gt_1,descriptive_source_model_performance_outer_test_only
mpnet,6,I,142,43,99,0.7432464176650223,0.576759358812266,0.24115648044742605,0.6753025675397478,0.7209302325581395,0.6666666666666666,,,,,,,,,,,,,0,not_run_repeat_gt_1,descriptive_source_model_performance_outer_test_only
mpnet,7,P,142,43,99,0.7505285412262157,0.620658365277559,0.2128655738552494,0.6131252928203061,0.6976744186046512,0.7878787878787878,,,,,,,,,,,,,0,not_run_repeat_gt_1,descriptive_source_model_performance_outer_test_only
mpnet,7,I,142,43,99,0.7096546863988725,0.4840982343075959,0.24515253560060266,0.6824537212598271,0.813953488372093,0.5353535353535354,,,,,,,,,,,,,0,not_run_repeat_gt_1,descriptive_source_model_performance_outer_test_only
mpnet,8,P,142,43,99,0.7484143763213531,0.6304086201535978,0.2232808734416841,0.6408041810378188,0.7441860465116279,0.7373737373737373,,,,,,,,,,,,,0,not_run_repeat_gt_1,descriptive_source_model_performance_outer_test_only
mpnet,8,I,142,43,99,0.6821705426356589,0.4941145027427877,0.24007330033494026,0.6731045265607529,0.6744186046511628,0.5656565656565656,,,,,,,,,,,,,0,not_run_repeat_gt_1,descriptive_source_model_performance_outer_test_only
mpnet,9,P,142,43,99,0.7237491190979563,0.576458559098453,0.23510173504727852,0.668353671632789,0.6511627906976745,0.7373737373737373,,,,,,,,,,,,,0,not_run_repeat_gt_1,descriptive_source_model_performance_outer_test_only
mpnet,9,I,142,43,99,0.6831101714822645,0.49875378901090867,0.23774605529872142,0.665685819745959,0.7441860465116279,0.5858585858585859,,,,,,,,,,,,,0,not_run_repeat_gt_1,descriptive_source_model_performance_outer_test_only
mpnet,10,P,142,43,99,0.7080103359173127,0.5788141297982903,0.22863070782784353,0.6494659288738345,0.627906976744186,0.6565656565656566,,,,,,,,,,,,,0,not_run_repeat_gt_1,descriptive_source_model_performance_outer_test_only
mpnet,10,I,142,43,99,0.7451256753582334,0.6072608660051506,0.21996896498147758,0.6297236094018559,0.7209302325581395,0.6868686868686869,,,,,,,,,,,,,0,not_run_repeat_gt_1,descriptive_source_model_performance_outer_test_only
tfidf,1,P,142,43,99,0.7171717171717171,0.6505663568409699,0.23068677590146572,0.6543897333475106,0.046511627906976744,1.0,0.6137890533239369,0.5378349393118784,0.2280033307829501,0.6489870283184315,0.0,1.0,0.8102008456659618,0.761886327789106,0.23341132097605513,0.6598846737824626,0.11627906976744186,1.0,5000,repeat_1_participant_stratified_bootstrap,descriptive_source_model_performance_outer_test_only
tfidf,1,I,142,43,99,0.8080808080808081,0.6609861928881021,0.19591441431830608,0.5815971677464262,0.6976744186046512,0.7878787878787878,0.7277366690157387,0.5465608003105993,0.18140135546341074,0.5512668256294639,0.5581395348837209,0.7070707070707071,0.882317359642941,0.7821002626249917,0.21109551332524013,0.6130184731441392,0.8372093023255814,0.8686868686868687,5000,repeat_1_participant_stratified_bootstrap,descriptive_source_model_performance_outer_test_only
tfidf,2,P,142,43,99,0.6997885835095138,0.5511963043654715,0.2312833160220739,0.6555717111000287,0.046511627906976744,1.0,,,,,,,,,,,,,0,not_run_repeat_gt_1,descriptive_source_model_performance_outer_test_only
tfidf,2,I,142,43,99,0.790227859995302,0.6050879911840727,0.19759195146042835,0.585095447464767,0.6511627906976745,0.7777777777777778,,,,,,,,,,,,,0,not_run_repeat_gt_1,descriptive_source_model_performance_outer_test_only
tfidf,3,P,142,43,99,0.6831101714822646,0.5418008855945312,0.2322365219347927,0.657512525177486,0.023255813953488372,1.0,,,,,,,,,,,,,0,not_run_repeat_gt_1,descriptive_source_model_performance_outer_test_only
tfidf,3,I,142,43,99,0.812778952313836,0.6859663295859,0.1943949876967114,0.5786863191169603,0.6976744186046512,0.7878787878787878,,,,,,,,,,,,,0,not_run_repeat_gt_1,descriptive_source_model_performance_outer_test_only
tfidf,4,P,142,43,99,0.7084801503406154,0.6021392156520495,0.23094930230889293,0.6549159664343552,0.046511627906976744,1.0,,,,,,,,,,,,,0,not_run_repeat_gt_1,descriptive_source_model_performance_outer_test_only
tfidf,4,I,142,43,99,0.7895231383603477,0.6375992706713892,0.19881820094716163,0.5874988579518146,0.6046511627906976,0.7878787878787878,,,,,,,,,,,,,0,not_run_repeat_gt_1,descriptive_source_model_performance_outer_test_only
tfidf,5,P,142,43,99,0.7171717171717171,0.5832802766215772,0.23124467335174856,0.6555087209401659,0.046511627906976744,1.0,,,,,,,,,,,,,0,not_run_repeat_gt_1,descriptive_source_model_performance_outer_test_only
tfidf,5,I,142,43,99,0.7958656330749354,0.6234029953989851,0.19693544481678782,0.5838001900052674,0.6744186046511628,0.8181818181818182,,,,,,,,,,,,,0,not_run_repeat_gt_1,descriptive_source_model_performance_outer_test_only
tfidf,6,P,142,43,99,0.677472398402631,0.5529873802087731,0.2316437038745389,0.6563113274652423,0.046511627906976744,1.0,,,,,,,,,,,,,0,not_run_repeat_gt_1,descriptive_source_model_performance_outer_test_only
tfidf,6,I,142,43,99,0.8012684989429175,0.653316339103429,0.1969142629467413,0.5838108991334006,0.6046511627906976,0.7878787878787878,,,,,,,,,,,,,0,not_run_repeat_gt_1,descriptive_source_model_performance_outer_test_only
tfidf,7,P,142,43,99,0.6586798214705191,0.5142797690145744,0.23265292600408813,0.6583399158745019,0.06976744186046512,1.0,,,,,,,,,,,,,0,not_run_repeat_gt_1,descriptive_source_model_performance_outer_test_only
tfidf,7,I,142,43,99,0.797979797979798,0.6617315604423412,0.1973131927496356,0.5845201379647474,0.6511627906976745,0.7878787878787878,,,,,,,,,,,,,0,not_run_repeat_gt_1,descriptive_source_model_performance_outer_test_only
tfidf,8,P,142,43,99,0.6725393469579516,0.5166081390551759,0.2329646978039974,0.6589702515496834,0.023255813953488372,1.0,,,,,,,,,,,,,0,not_run_repeat_gt_1,descriptive_source_model_performance_outer_test_only
tfidf,8,I,142,43,99,0.7883486023020906,0.6084159468885537,0.1997988611761469,0.5897391229863931,0.6511627906976745,0.7777777777777778,,,,,,,,,,,,,0,not_run_repeat_gt_1,descriptive_source_model_performance_outer_test_only
tfidf,9,P,142,43,99,0.6640826873385012,0.5022283803008714,0.23210885425146194,0.6572404913782379,0.046511627906976744,1.0,,,,,,,,,,,,,0,not_run_repeat_gt_1,descriptive_source_model_performance_outer_test_only
tfidf,9,I,142,43,99,0.792107117688513,0.648945843785995,0.19718092255899333,0.5841230238857245,0.6744186046511628,0.7575757575757576,,,,,,,,,,,,,0,not_run_repeat_gt_1,descriptive_source_model_performance_outer_test_only
tfidf,10,P,142,43,99,0.7075405214940098,0.5980307074875229,0.230861007178378,0.6547360507051606,0.09302325581395349,1.0,,,,,,,,,,,,,0,not_run_repeat_gt_1,descriptive_source_model_performance_outer_test_only
tfidf,10,I,142,43,99,0.7939863753817242,0.6542996853477023,0.19894631151520933,0.5877728220453405,0.6511627906976745,0.7676767676767676,,,,,,,,,,,,,0,not_run_repeat_gt_1,descriptive_source_model_performance_outer_test_only
