representation,repeat,draw,draw_type,model_name,roc_auc,pr_auc,brier,log_loss,sensitivity_at_0_50,specificity_at_0_50,interpretation_scope
tfidf,1,20,random_mismatch,P+I-real,0.7815362931642003,0.6410407977901363,0.19230222911088127,0.5757191551875492,0.6976744186046512,0.7171717171717171,pairing_dependence
tfidf,1,20,random_mismatch,full,0.8879492600422833,0.768247670191529,0.1427386969136796,0.43723421722398176,0.8372093023255814,0.7373737373737373,pairing_dependence
tfidf,1,20,random_mismatch,full+I-random_mismatch,0.8813718581160441,0.7651856336546268,0.14959965547862628,0.45584645744466956,0.9069767441860465,0.7171717171717171,pairing_dependence
tfidf,1,20,random_mismatch,full+I-real,0.8905332393704487,0.772805393993158,0.1427900526253561,0.43723826532215115,0.8372093023255814,0.7373737373737373,pairing_dependence
tfidf,1,21,random_mismatch,P,0.6960300681230912,0.6159035881617341,0.23706559430848198,0.6671325860920367,0.627906976744186,0.6666666666666666,pairing_dependence
tfidf,1,21,random_mismatch,P+I-random_mismatch,0.6995536762978624,0.5365351112728367,0.23254577764957482,0.6574703698008857,0.6511627906976745,0.6565656565656566,pairing_dependence
tfidf,1,21,random_mismatch,P+I-real,0.7874089734554851,0.626482353538547,0.195823096108353,0.577880515803139,0.7209302325581395,0.7070707070707071,pairing_dependence
tfidf,1,21,random_mismatch,full,0.8879492600422833,0.768247670191529,0.1427386969136796,0.43723421722398176,0.8372093023255814,0.7373737373737373,pairing_dependence
tfidf,1,21,random_mismatch,full+I-random_mismatch,0.8778482499412732,0.7470312423732388,0.15367593563864176,0.4675432008343729,0.8604651162790697,0.7171717171717171,pairing_dependence
tfidf,1,21,random_mismatch,full+I-real,0.8545924359877848,0.7255380424937589,0.16820943417847806,0.5002872940381345,0.8837209302325582,0.6868686868686869,pairing_dependence
tfidf,1,22,random_mismatch,P,0.6960300681230912,0.6159035881617341,0.23706559430848198,0.6671325860920367,0.627906976744186,0.6666666666666666,pairing_dependence
tfidf,1,22,random_mismatch,P+I-random_mismatch,0.6563307493540051,0.5391277181554901,0.22694651760974854,0.6528025619939578,0.5813953488372093,0.6060606060606061,pairing_dependence
tfidf,1,22,random_mismatch,P+I-real,0.7965703547098896,0.6328244819689048,0.20436509882816858,0.6002947882396689,0.7209302325581395,0.7171717171717171,pairing_dependence
tfidf,1,22,random_mismatch,full,0.8759689922480619,0.7441482549414715,0.15326746578941727,0.46681240462906765,0.8604651162790697,0.7171717171717171,pairing_dependence
tfidf,1,22,random_mismatch,full+I-random_mismatch,0.8494244773314541,0.7113097301240662,0.16467411090015688,0.5235511615795262,0.8372093023255814,0.7474747474747475,pairing_dependence
tfidf,1,22,random_mismatch,full+I-real,0.8731501057082452,0.7235974184812799,0.1609135928960404,0.4937850680616777,0.9069767441860465,0.7070707070707071,pairing_dependence
tfidf,1,23,random_mismatch,P,0.6960300681230912,0.6159035881617341,0.23706559430848198,0.6671325860920367,0.627906976744186,0.6666666666666666,pairing_dependence
tfidf,1,23,random_mismatch,P+I-random_mismatch,0.670425182053089,0.5390385948500162,0.22434360510104226,0.6420324065901358,0.5581395348837209,0.6262626262626263,pairing_dependence
tfidf,1,23,random_mismatch,P+I-real,0.7843551797040168,0.6702928672144752,0.18740595127094678,0.5589992102138914,0.6976744186046512,0.7070707070707071,pairing_dependence
tfidf,1,23,random_mismatch,full,0.8583509513742072,0.7123416964927134,0.1590694179639755,0.5094235083825188,0.8604651162790697,0.7272727272727273,pairing_dependence
tfidf,1,23,random_mismatch,full+I-random_mismatch,0.8616396523373268,0.7375702693383978,0.15639172015140068,0.46931417829466443,0.8372093023255814,0.7070707070707071,pairing_dependence
tfidf,1,23,random_mismatch,full+I-real,0.8797275076344844,0.7503009625287638,0.15752216011879272,0.4797602134693583,0.9069767441860465,0.696969696969697,pairing_dependence
tfidf,1,24,random_mismatch,P,0.6960300681230912,0.6159035881617341,0.23706559430848198,0.6671325860920367,0.627906976744186,0.6666666666666666,pairing_dependence
