record_type,representation,repeat,outer_fold,partition,draw,assignment_type,n_pairs,no_self,one_to_one,mean_distance,median_distance,q95_distance,max_distance,total_distance,total_cost,max_abs_smd,random_distance_q05,optimal_distance_random_percentile,n_features_mean_abs_paired_diff_lt_0_50,matching_adequate
random_reference,tfidf,1,1,outer_test,62,random_mismatch,29,True,True,3.864507521939841,3.1767216071338935,7.959278180701129,8.402780336699387,112.07071813625538,540.6266643670388,3.062684205862501e-17,,,0,False
random_reference,tfidf,1,1,outer_test,63,random_mismatch,29,True,True,3.859811154819784,3.312771508423142,7.638205151359963,12.19760473801736,111.93452348977374,590.1340290405034,7.656710514656253e-17,,,0,False
random_reference,tfidf,1,1,outer_test,64,random_mismatch,29,True,True,4.133580981221772,3.2700327115311962,9.36224746746662,10.595234719060487,119.87384845543137,666.324492515041,6.508203937457814e-17,,,0,False
random_reference,tfidf,1,1,outer_test,65,random_mismatch,29,True,True,3.7617096718213086,3.3070812331968917,7.376495657671431,9.63973363386377,109.08958048281795,549.6501234904581,8.422381566121877e-17,,,0,False
random_reference,tfidf,1,1,outer_test,66,random_mismatch,29,True,True,3.9157509635828474,3.229203355848167,10.127986261278965,10.595234719060487,113.55677794390257,609.4364807045496,5.3596973602593766e-17,,,0,False
random_reference,tfidf,1,1,outer_test,67,random_mismatch,29,True,True,3.4721282002760145,2.840241677685206,6.6205671927501655,10.402697463713086,100.69171780800443,477.0056017723515,8.996634854721096e-17,,,0,False
random_reference,tfidf,1,1,outer_test,68,random_mismatch,29,True,True,3.772552731883744,3.2475178273452214,9.310477110145579,10.595234719060487,109.40402922462857,594.5288759667275,3.828355257328126e-17,,,0,False
random_reference,tfidf,1,1,outer_test,69,random_mismatch,29,True,True,4.122010851626895,3.456946496608085,8.499732789143764,10.826717039067164,119.53831469717996,650.0123719637844,7.656710514656253e-17,,,0,False
random_reference,tfidf,1,1,outer_test,70,random_mismatch,29,True,True,3.860355032210557,3.1692799649881622,9.201427305646774,9.516993000976166,111.95029593410615,597.9115471997779,4.8093712920184585e-17,,,0,False
random_reference,tfidf,1,1,outer_test,71,random_mismatch,29,True,True,3.7851803444139436,3.5224910018086857,9.416876023261903,10.73864997145491,109.77022998800436,590.7258267919791,4.474390207002247e-17,,,0,False
random_reference,tfidf,1,1,outer_test,72,random_mismatch,29,True,True,3.8333958570039104,3.429628068194634,8.249636084206587,9.940039035920192,111.1684798531134,569.9727063792277,4.594026308793751e-17,,,0,False
random_reference,tfidf,1,1,outer_test,73,random_mismatch,29,True,True,3.543463567096247,3.2487915807830245,7.834626392126905,10.724055636068707,102.76044344579115,496.4179370204934,4.2111907830609384e-17,,,0,False
random_reference,tfidf,1,1,outer_test,74,random_mismatch,29,True,True,3.762725980376524,3.213043880242125,8.101403393845247,10.724055636068707,109.1190534309192,559.035561405097,5.646824004558985e-17,,,0,False
random_reference,tfidf,1,1,outer_test,75,random_mismatch,29,True,True,3.899541829557671,3.4326792108457624,8.144853680143878,9.63973363386377,113.08671305717246,565.030983063797,6.125368411725002e-17,,,0,False
random_reference,tfidf,1,1,outer_test,76,random_mismatch,29,True,True,3.838419999505888,3.209424616693012,8.905571156473565,12.891370129788745,111.31417998567075,619.9440902354628,3.254101968728907e-17,,,0,False
random_reference,tfidf,1,1,outer_test,77,random_mismatch,29,True,True,3.7803312785566727,2.963316291552718,8.351834237938135,9.516993000976166,109.62960707814351,550.98147711564,4.594026308793751e-17,,,0,False
random_reference,tfidf,1,1,outer_test,78,random_mismatch,29,True,True,3.6537802232451555,3.3651312229997705,7.644534987478239,8.791069981080314,105.95962647410951,499.4616884814236,2.2970131543968756e-17,,,0,False
random_reference,tfidf,1,1,outer_test,79,random_mismatch,29,True,True,4.161057411150623,3.5744494251291172,9.600200673572875,10.595234719060487,120.67066492336807,698.7588741576969,9.858014787619925e-17,,,0,False
random_reference,tfidf,1,1,outer_test,80,random_mismatch,29,True,True,3.9580119397144298,3.229203355848167,8.32085120396463,8.958199437556466,114.78234625171847,593.5284200248558,2.2970131543968756e-17,,,0,False
random_reference,tfidf,1,1,outer_test,81,random_mismatch,29,True,True,4.23720220076598,3.327771454305859,9.370146636809102,12.891370129788745,122.87886382221342,714.9223879117967,8.422381566121877e-17,,,0,False
random_reference,tfidf,1,1,outer_test,82,random_mismatch,29,True,True,3.5777248984517813,3.0602188637112233,7.017832102945603,10.571149194436725,103.75402205510166,512.5378689465668,3.062684205862501e-17,,,0,False
random_reference,tfidf,1,1,outer_test,83,random_mismatch,29,True,True,4.193190372942457,3.2487915807830245,10.4122978790011,10.910766971036896,121.60252081533125,709.7122079101426,4.594026308793751e-17,,,0,False
random_reference,tfidf,1,1,outer_test,84,random_mismatch,29,True,True,4.068052592452462,3.306097207105933,8.86072466233416,10.73864997145491,117.97352518112139,640.4774376122864,6.795330581757423e-17,,,0,False
random_reference,tfidf,1,1,outer_test,85,random_mismatch,29,True,True,3.8157043227802756,2.8976615175992038,8.673114134836313,10.826717039067164,110.65542536062799,595.0319789162093,3.062684205862501e-17,,,0,False
random_reference,tfidf,1,1,outer_test,86,random_mismatch,29,True,True,4.061028027006749,3.1034458639395655,10.682927052264574,12.891370129788745,117.76981278319573,739.4530201573119,9.953723669053128e-17,,,0,False
random_reference,tfidf,1,1,outer_test,87,random_mismatch,29,True,True,3.6626823250649165,2.8320128647403107,9.475225466587581,10.571149194436725,106.21778742688258,592.8496489703311,2.2970131543968756e-17,,,0,False
random_reference,tfidf,1,1,outer_test,88,random_mismatch,29,True,True,4.073215775641438,3.210603276518209,9.344803956352093,11.660874244122805,118.12325749360173,663.6917748478462,2.2970131543968756e-17,,,0,False
random_reference,tfidf,1,1,outer_test,89,random_mismatch,29,True,True,3.992072776133954,3.213043880242125,8.433988769164975,10.73864997145491,115.77011050788467,628.6583417966395,1.2250736823450003e-16,,,0,False
random_reference,tfidf,1,1,outer_test,90,random_mismatch,29,True,True,3.8929442590888255,3.041197570876841,8.101403393845247,8.577417676803902,112.89538351357594,577.5258133757293,6.125368411725002e-17,,,0,False
random_reference,tfidf,1,1,outer_test,91,random_mismatch,29,True,True,3.817056907155659,3.1545624700856987,8.818462795424175,11.660874244122805,110.69465030751411,609.2956119857299,3.828355257328126e-17,,,0,False
random_reference,tfidf,1,1,outer_test,92,random_mismatch,29,True,True,3.9235045879451995,3.229203355848167,8.868625022087933,11.260315609812888,113.78163305041079,627.2489632413512,6.125368411725002e-17,,,0,False
random_reference,tfidf,1,1,outer_test,93,random_mismatch,29,True,True,3.9362054804908153,3.3070812331968917,8.32085120396463,10.3836053729341,114.14995893423364,594.4503374702493,6.891039463190627e-17,,,0,False
random_reference,tfidf,1,1,outer_test,94,random_mismatch,29,True,True,3.90327076081324,3.6297679690152855,8.525448524282341,9.314497975579176,113.19485206358397,579.000203063693,7.656710514656253e-17,,,0,False
random_reference,tfidf,1,1,outer_test,95,random_mismatch,29,True,True,3.9290224118929005,3.208584796054166,9.236832730413017,10.826717039067164,113.94164994489411,628.7460932052668,3.062684205862501e-17,,,0,False
random_reference,tfidf,1,1,outer_test,96,random_mismatch,29,True,True,3.8884323227772266,3.3651312229997705,8.673483627117177,10.724055636068707,112.76453736053958,569.7503564961069,4.594026308793751e-17,,,0,False
random_reference,tfidf,1,1,outer_test,97,random_mismatch,29,True,True,4.045948597694746,3.3070812331968917,9.789482736580949,12.19760473801736,117.33250933314764,681.6941933036269,5.74253288599219e-17,,,0,False
random_reference,tfidf,1,1,outer_test,98,random_mismatch,29,True,True,3.7776189075188995,3.1099850641792735,9.280524698598192,10.724055636068707,109.55094831804809,612.3277601095192,7.656710514656253e-17,,,0,False
random_reference,tfidf,1,1,outer_test,99,random_mismatch,29,True,True,4.099109961209218,3.681590537465433,9.344803956352093,10.595234719060487,118.87418887506733,676.4706179992394,6.891039463190627e-17,,,0,False
random_reference,tfidf,1,1,outer_test,100,random_mismatch,29,True,True,4.099971323824781,3.327771454305859,9.238534086925153,10.724055636068707,118.89916839091866,656.2591125399606,5.3596973602593766e-17,,,0,False
random_reference,tfidf,1,2,outer_test,1,random_mismatch,29,True,True,3.0280813113377243,2.678120318614299,5.721078511525876,7.135082504011473,87.814358028794,329.16472211212744,2.488430917263282e-17,,,0,False
random_reference,tfidf,1,2,outer_test,2,random_mismatch,29,True,True,3.125478841656753,2.9477386088787396,5.056126255834881,6.079682434990695,90.63888640804583,320.03174591887625,1.914177628664063e-17,,,0,False
random_reference,tfidf,1,2,outer_test,3,random_mismatch,29,True,True,3.250679727378692,3.022850016141775,5.792362822231691,6.655373076473344,94.26971209398206,371.8011658613368,5.3596973602593766e-17,,,0,False
random_reference,tfidf,1,2,outer_test,4,random_mismatch,29,True,True,3.0356433285853712,2.746859556705867,5.235342561011861,6.425707839197926,88.03365652897577,313.30050565997857,2.2970131543968756e-17,,,0,False
random_reference,tfidf,1,2,outer_test,5,random_mismatch,29,True,True,3.131307434446822,3.0617514010063664,5.913166253862415,6.425707839197926,90.80791559895785,345.4468080546983,2.871266442996095e-17,,,0,False
random_reference,tfidf,1,2,outer_test,6,random_mismatch,29,True,True,3.2115135272550566,3.367258335243496,4.907188686878007,6.425707839197926,93.13389229039664,351.93358711757537,3.062684205862501e-17,,,0,False
random_reference,tfidf,1,2,outer_test,7,random_mismatch,29,True,True,3.1903034550789746,3.1894303727874855,4.683056863741761,5.358299598013017,92.51880019729026,330.94764431200105,3.828355257328126e-17,,,0,False
random_reference,tfidf,1,2,outer_test,8,random_mismatch,29,True,True,3.1166266980415713,3.0453136786790593,5.206735550764644,5.745116674286167,90.38217424320557,319.4082197396931,4.282972444135841e-17,,,0,False
random_reference,tfidf,1,2,outer_test,9,random_mismatch,29,True,True,3.0211837240027872,2.770321691546711,5.311694023567106,7.659755233764055,87.61432799608083,320.54926020745455,1.5313421029312504e-17,,,0,False
random_reference,tfidf,1,2,outer_test,10,random_mismatch,29,True,True,2.875284624880332,2.37889080173341,5.467432806775751,7.206898514961784,83.38325412152963,301.80700149919846,5.3596973602593766e-17,,,0,False
