representation,repeat,draw,draw_type,matched_model_name,weak_real_delta_auc,weak_matched_delta_auc,full_real_delta_auc,full_matched_delta_auc,weak_real_minus_matched_delta_auc,weak_matched_minus_no_i_delta_auc,real_minus_matched_delta_auc,matched_minus_no_i_delta_auc,weak_real_minus_optimal_delta_auc_x,weak_real_minus_random_delta_auc,weak_optimal_minus_no_i_delta_auc_x,weak_random_minus_no_i_delta_auc,real_minus_optimal_delta_auc,real_minus_random_delta_auc,optimal_minus_no_i_delta_auc,random_minus_no_i_delta_auc,real_minus_matched_full_delta_auc,mean_abs_probability_change_weak,mean_abs_probability_change_full,interpretation_scope_x,full_real_minus_optimal_delta_auc,full_real_minus_optimal_ci_low,full_real_minus_optimal_ci_high,full_real_minus_optimal_p_value,full_optimal_minus_no_i_delta_auc,full_optimal_minus_no_i_ci_low,full_optimal_minus_no_i_ci_high,weak_real_minus_optimal_delta_auc_y,weak_real_minus_optimal_ci_low,weak_real_minus_optimal_ci_high,weak_real_minus_optimal_p_value,weak_optimal_minus_no_i_delta_auc_y,weak_optimal_minus_no_i_ci_low,weak_optimal_minus_no_i_ci_high,real_minus_matched_delta_auc_observed,matched_minus_no_i_delta_auc_observed,ci_low,ci_high,optimal_minus_no_i_ci_low,optimal_minus_no_i_ci_high,p_value,n_bootstrap,n_permutations,primary_pairing_control,secondary_pairing_control,weak_control_scope,interpretation_scope_y
tfidf,1,0,optimal_matched,P+I-optimal_matched,0.08174770965468647,-0.03406154568945241,0.018087855297157507,0.01926239135541441,0.11580925534413888,-0.03406154568945241,-0.001174536058256903,0.01926239135541441,0.11580925534413888,,-0.03406154568945241,,-0.001174536058256903,,0.01926239135541441,,-0.001174536058256903,0.09295890673747167,0.030828758398801684,pairing_dependence_not_identified_interaction_effect,-0.001174536058256903,-0.019268264035705914,0.01667841202724918,0.9021097890210978,0.01926239135541441,-0.007047216349541974,0.04862579281183932,0.11580925534413888,0.051914493774958936,0.18393821940333557,0.00029997000299970003,-0.03406154568945241,-0.0812837679116748,0.011046511627906952,-0.001174536058256903,0.01926239135541441,-0.019268264035705914,0.01667841202724918,-0.007047216349541974,0.04862579281183932,0.9021097890210978,5000.0,10000.0,P+Q+R+D+I-real_vs_P+Q+R+D+I-optimal_matched,P+I-real_vs_P+I-optimal_matched,secondary_weak_control_pairing,pairing_dependence_full_control_primary
tfidf,1,1,random_mismatch,P+I-random_mismatch,0.09701667841202744,-0.04298801973220567,0.006577401926239124,0.02701432933991077,0.1400046981442331,-0.04298801973220567,-0.020436927413671646,0.02701432933991077,,0.1400046981442331,,-0.04298801973220567,,-0.020436927413671646,,0.02701432933991077,-0.020436927413671646,0.16183142992923563,0.054174626272459094,pairing_dependence_not_identified_interaction_effect,,,,,,,,,,,,,,,,,,,,,,,,,,,
tfidf,1,2,random_mismatch,P+I-random_mismatch,0.08973455485083415,-0.06154568945266592,0.014564247122386798,1.1102230246251565e-16,0.15128024430350007,-0.06154568945266592,0.014564247122386687,1.1102230246251565e-16,,0.15128024430350007,,-0.06154568945266592,,0.014564247122386687,,1.1102230246251565e-16,0.014564247122386687,0.1795889962108144,0.04338256799047296,pairing_dependence_not_identified_interaction_effect,,,,,,,,,,,,,,,,,,,,,,,,,,,
tfidf,1,3,random_mismatch,P+I-random_mismatch,0.0946676062955134,-0.037585153864223564,-0.018087855297157507,0.0004698144233029611,0.13225276015973697,-0.037585153864223564,-0.018557669720460468,0.0004698144233029611,,0.13225276015973697,,-0.037585153864223564,,-0.018557669720460468,,0.0004698144233029611,-0.018557669720460468,0.14286413839683695,0.054997533540392385,pairing_dependence_not_identified_interaction_effect,,,,,,,,,,,,,,,,,,,,,,,,,,,
tfidf,1,4,random_mismatch,P+I-random_mismatch,0.09161381254404533,-0.009631195677707205,-0.03147756636128729,-0.04580690627202244,0.10124500822175253,-0.009631195677707205,0.01432933991073515,-0.04580690627202244,,0.10124500822175253,,-0.009631195677707205,,0.01432933991073515,,-0.04580690627202244,0.01432933991073515,0.141875929220887,0.05717336151591775,pairing_dependence_not_identified_interaction_effect,,,,,,,,,,,,,,,,,,,,,,,,,,,
tfidf,1,5,random_mismatch,P+I-random_mismatch,0.08691566831101738,-0.001174536058256792,0.0035236081747709314,-0.0009396288466055891,0.08809020436927417,-0.001174536058256792,0.0044632370213765205,-0.0009396288466055891,,0.08809020436927417,,-0.001174536058256792,,0.0044632370213765205,,-0.0009396288466055891,0.0044632370213765205,0.13320580210286462,0.015038469219250119,pairing_dependence_not_identified_interaction_effect,,,,,,,,,,,,,,,,,,,,,,,,,,,
tfidf,1,6,random_mismatch,P+I-random_mismatch,0.08809020436927428,0.01996711299036913,0.03100775193798444,0.014329339910735261,0.06812309137890515,0.01996711299036913,0.01667841202724918,0.014329339910735261,,0.06812309137890515,,0.01996711299036913,,0.01667841202724918,,0.014329339910735261,0.01667841202724918,0.15765096506398946,0.056528439148959546,pairing_dependence_not_identified_interaction_effect,,,,,,,,,,,,,,,,,,,,,,,,,,,
tfidf,1,7,random_mismatch,P+I-random_mismatch,0.10077519379844979,0.006812309137890771,-0.006812309137890549,0.0014094432699083281,0.09396288466055902,0.006812309137890771,-0.008221752407798877,0.0014094432699083281,,0.09396288466055902,,0.006812309137890771,,-0.008221752407798877,,0.0014094432699083281,-0.008221752407798877,0.13755273471506962,0.0634160510665864,pairing_dependence_not_identified_interaction_effect,,,,,,,,,,,,,,,,,,,,,,,,,,,
tfidf,1,8,random_mismatch,P+I-random_mismatch,0.10054028658679837,-0.0058726802912847376,0.02701432933991077,0.03429645290110406,0.1064129668780831,-0.0058726802912847376,-0.007282123561193288,0.03429645290110406,,0.1064129668780831,,-0.0058726802912847376,,-0.007282123561193288,,0.03429645290110406,-0.007282123561193288,0.11904530189727497,0.045623629738563626,pairing_dependence_not_identified_interaction_effect,,,,,,,,,,,,,,,,,,,,,,,,,,,
tfidf,1,9,random_mismatch,P+I-random_mismatch,0.09607704956542185,-0.024900164435047945,-0.013154803852478247,0.0025839793281653423,0.12097721400046979,-0.024900164435047945,-0.01573878318064359,0.0025839793281653423,,0.12097721400046979,,-0.024900164435047945,,-0.01573878318064359,,0.0025839793281653423,-0.01573878318064359,0.12958300888027385,0.08277212125830748,pairing_dependence_not_identified_interaction_effect,,,,,,,,,,,,,,,,,,,,,,,,,,,
tfidf,1,10,random_mismatch,P+I-random_mismatch,0.09678177120037601,-0.035236081747709425,0.0009396288466054781,0.029128494244773373,0.13201785294808543,-0.035236081747709425,-0.028188865398167895,0.029128494244773373,,0.13201785294808543,,-0.035236081747709425,,-0.028188865398167895,,0.029128494244773373,-0.028188865398167895,0.151381167012555,0.06685142093277988,pairing_dependence_not_identified_interaction_effect,,,,,,,,,,,,,,,,,,,,,,,,,,,
