representation,repeat,subset,scale,n_participants,r2,mae,rmse,spearman_rho,mse_improvement,target_mse,null_mse,source_score_scale_sensitive,standardization_scope,interpretation_scope,n_outer_folds
mpnet,6,P+R+D,raw,142,-0.028472902833723834,0.06506745016667584,0.12549214340534065,0.42679555984920087,-0.028472902833723834,0.015748278056466586,0.01531229263607799,True,none,recoverability_scale_sensitivity,5
mpnet,6,P+R+D,outer_train_standardized,142,0.010542398561391275,17.208951562184264,39.622444957032116,0.6137647189490163,0.010542398561391275,1569.93814437304,1586.6654034396715,True,outer_training_source_scores_only,recoverability_scale_sensitivity,5
mpnet,6,Q,raw,142,-0.0007206097360115127,0.06096630466114413,0.12378742594961818,0.25757191564803195,-0.0007206097360115127,0.015323326823232206,0.01531229263607799,True,none,recoverability_scale_sensitivity,5
mpnet,6,Q,outer_train_standardized,142,0.006339978353541942,17.202319874079837,39.70649794589735,0.5577368391273098,0.006339978353541942,1576.6059791275502,1586.6654034396715,True,outer_training_source_scores_only,recoverability_scale_sensitivity,5
mpnet,6,Q+D,raw,142,-0.0025958828349659235,0.06108779076952272,0.12390335569990008,0.15718863096747426,-0.0025958828349659235,0.01535204155369596,0.01531229263607799,True,none,recoverability_scale_sensitivity,5
mpnet,6,Q+D,outer_train_standardized,142,0.004825032888171044,17.25963237574486,39.736754908844176,0.4993367435680891,0.004825032888171044,1579.009690685552,1586.6654034396715,True,outer_training_source_scores_only,recoverability_scale_sensitivity,5
mpnet,6,Q+R,raw,142,-0.025800664728761413,0.064616196279778,0.12532900687634177,0.44347651150168377,-0.025800664728761413,0.01570735996461012,0.01531229263607799,True,none,recoverability_scale_sensitivity,5
mpnet,6,Q+R,outer_train_standardized,142,0.011319574006137145,17.190856873590008,39.60688105597888,0.6263047710455563,0.011319574006137145,1568.7050269824588,1586.6654034396715,True,outer_training_source_scores_only,recoverability_scale_sensitivity,5
mpnet,6,Q+R+D,raw,142,-0.025594725348325742,0.0647750000920726,0.1253164257412076,0.43382838318409195,-0.025594725348325742,0.015704206560551597,0.01531229263607799,True,none,recoverability_scale_sensitivity,5
mpnet,6,Q+R+D,outer_train_standardized,142,0.011055594338315045,17.20053908093152,39.61216826164157,0.6203700405078889,0.011055594338315045,1569.1238743886036,1586.6654034396715,True,outer_training_source_scores_only,recoverability_scale_sensitivity,5
mpnet,6,R,raw,142,-0.026492919384627056,0.06469876890541895,0.12537128846143133,0.4306640318027792,-0.026492919384627056,0.015717959970479423,0.01531229263607799,True,none,recoverability_scale_sensitivity,5
mpnet,6,R,outer_train_standardized,142,0.011396592147619455,17.19334772894239,39.605338339192755,0.6254581498812845,0.011396592147619455,1568.5828249619315,1586.6654034396715,True,outer_training_source_scores_only,recoverability_scale_sensitivity,5
mpnet,6,R+D,raw,142,-0.026289405189132253,0.06480930966424427,0.12535885968515512,0.4293605705053113,-0.026289405189132253,0.01571484370156241,0.01531229263607799,True,none,recoverability_scale_sensitivity,5
mpnet,6,R+D,outer_train_standardized,142,0.010972133060540012,17.202117697699155,39.613839747120906,0.6201562896198797,0.010972133060540012,1569.2562995105761,1586.6654034396715,True,outer_training_source_scores_only,recoverability_scale_sensitivity,5
mpnet,6,null,raw,142,0.0,0.06044576730931414,0.12374284882803527,-0.30934911022911166,0.0,0.01531229263607799,0.01531229263607799,False,none,recoverability_scale_sensitivity,5
mpnet,6,null,outer_train_standardized,142,0.0,17.379849081986233,39.83296880022466,,0.0,1586.6654034396715,1586.6654034396715,False,outer_training_source_scores_only,recoverability_scale_sensitivity,5
mpnet,7,D,raw,142,-0.008934308558853132,0.14382803549455134,0.34282888180280907,0.19500577336957323,-0.008934308558853132,0.11753164219816442,0.11649087676089129,True,none,recoverability_scale_sensitivity,5
mpnet,7,D,outer_train_standardized,142,0.0005014439087094313,44.2697312325287,123.48659630965098,0.18565521981764116,0.0005014439087094313,15248.939468142707,15256.589792161665,True,outer_training_source_scores_only,recoverability_scale_sensitivity,5
mpnet,7,P,raw,142,-0.0666521761786476,0.16304555561355633,0.3524985775885675,0.19833358131230475,-0.0666521761786476,0.12425524720196335,0.11649087676089129,True,none,recoverability_scale_sensitivity,5
mpnet,7,P,outer_train_standardized,142,0.005936194932225081,44.253385262231305,123.15041088504088,0.14363850114524374,0.005936194932225081,15166.023701154398,15256.589792161665,True,outer_training_source_scores_only,recoverability_scale_sensitivity,5
mpnet,7,P+D,raw,142,-0.02856974832195225,0.1531918743617098,0.3461488000726761,0.2313727626883156,-0.02856974832195225,0.1198189917917535,0.11649087676089129,True,none,recoverability_scale_sensitivity,5
mpnet,7,P+D,outer_train_standardized,142,0.0029531542424628965,44.26189803387432,123.3350506923779,0.15495472462808396,0.0029531542424628965,15211.534729291427,15256.589792161665,True,outer_training_source_scores_only,recoverability_scale_sensitivity,5
mpnet,7,P+Q,raw,142,-0.04407517094292723,0.16712308064940942,0.3487480925645602,0.42786012309536436,-0.04407517094292723,0.12162523206741903,0.11649087676089129,True,none,recoverability_scale_sensitivity,5
mpnet,7,P+Q,outer_train_standardized,142,0.006664830655520149,44.178863436595755,123.10526879389107,0.3629217650793917,0.006664830655520149,15154.90720481617,15256.589792161665,True,outer_training_source_scores_only,recoverability_scale_sensitivity,5
mpnet,7,P+Q+D,raw,142,-0.03600861550024659,0.16002572960512199,0.34739826129596685,0.4297461603425044,-0.03600861550024659,0.12068555195146084,0.11649087676089129,True,none,recoverability_scale_sensitivity,5
mpnet,7,P+Q+D,outer_train_standardized,142,0.005402787988804669,44.17679446740707,123.1834472325014,0.3638605925090792,0.005402787988804669,15174.161672082455,15256.589792161665,True,outer_training_source_scores_only,recoverability_scale_sensitivity,5
mpnet,7,P+Q+R,raw,142,-0.1715701884675518,0.19253199328119222,0.36942825885617864,0.5697068888558251,-0.1715701884675518,0.13647723844150775,0.11649087676089129,True,none,recoverability_scale_sensitivity,5
mpnet,7,P+Q+R,outer_train_standardized,142,0.0044373281182523705,44.159424357455755,123.24322008649509,0.639196883428229,0.0044373281182523705,15188.891297288264,15256.589792161665,True,outer_training_source_scores_only,recoverability_scale_sensitivity,5
