representation,repeat,subset,prediction_scope,r2,delta_mse,mae,rmse,spearman_rho,target_mse,null_mse,r2_defined,interpretation_scope,total_recoverability_r2,full_label_conditioned_r2,interpretation_flag,high_total_r2_threshold,near_zero_conditioned_r2_threshold
bge,3,D,outer_test,-0.03401369490585626,-0.008110208937261415,0.3930701498718789,0.49653773727830824,-0.07513351586005941,0.24654972454146223,0.23843951560420082,True,label_conditioned_recoverability,0.0414032814413684,-0.04523379597772936,inconclusive_label_conditioned_recoverability,0.5,0.05
bge,3,P_within,outer_test,-0.06189784822931532,-0.014758892948740304,0.3861622279972999,0.5031882436553353,0.10455142699673717,0.2531984085529411,0.23843951560420082,True,label_conditioned_recoverability,0.0414032814413684,-0.04523379597772936,inconclusive_label_conditioned_recoverability,0.5,0.05
bge,3,P_within+Q+R+D,outer_test,-0.04523379597772936,-0.010785524401869029,0.3968553077135826,0.4992244385104458,0.24035029998470214,0.24922504000606985,0.23843951560420082,True,label_conditioned_recoverability,0.0414032814413684,-0.04523379597772936,inconclusive_label_conditioned_recoverability,0.5,0.05
bge,3,Q,outer_test,-0.02795699174739097,-0.0066660515699985545,0.39320394339099196,0.4950813742953772,0.12693240232946557,0.24510556717419937,0.23843951560420082,True,label_conditioned_recoverability,0.0414032814413684,-0.04523379597772936,inconclusive_label_conditioned_recoverability,0.5,0.05
bge,3,R,outer_test,-0.010190519770547635,-0.002429822597844411,0.38666460641750283,0.4907844111237084,0.27215727035924825,0.24086933820204523,0.23843951560420082,True,label_conditioned_recoverability,0.0414032814413684,-0.04523379597772936,inconclusive_label_conditioned_recoverability,0.5,0.05
bge,4,D,outer_test,0.027423995669235257,0.0032691517539363,0.23437953902371214,0.340497517439085,0.11849972023780835,0.11593855938218,0.1192077111361163,True,label_conditioned_recoverability,0.18619181728556577,0.042913649010526966,inconclusive_label_conditioned_recoverability,0.5,0.05
bge,4,P_within,outer_test,0.0003381784367165741,4.031347739656688e-05,0.2328993811012623,0.3452063117307094,-0.05151186841327687,0.11916739765871974,0.1192077111361163,True,label_conditioned_recoverability,0.18619181728556577,0.042913649010526966,inconclusive_label_conditioned_recoverability,0.5,0.05
bge,4,P_within+Q+R+D,outer_test,0.042913649010526966,0.0051156378750435855,0.2506796628035892,0.3377751815351044,0.3049743184594848,0.11409207326107272,0.1192077111361163,True,label_conditioned_recoverability,0.18619181728556577,0.042913649010526966,inconclusive_label_conditioned_recoverability,0.5,0.05
bge,4,Q,outer_test,-0.011015390093104482,-0.0013131194402704327,0.23147788570567565,0.34716110176168463,0.30324335538599856,0.12052083057638674,0.1192077111361163,True,label_conditioned_recoverability,0.18619181728556577,0.042913649010526966,inconclusive_label_conditioned_recoverability,0.5,0.05
bge,4,R,outer_test,0.0476950011542826,0.00568561192023645,0.2493255606514337,0.33693040708116545,0.30444622803028565,0.11352209921587986,0.1192077111361163,True,label_conditioned_recoverability,0.18619181728556577,0.042913649010526966,inconclusive_label_conditioned_recoverability,0.5,0.05
bge,5,D,outer_test,0.02570989852762995,0.006211977007323677,0.37964717036388435,0.4851866957739275,0.13284016848663885,0.23540612975602165,0.24161810676334533,True,label_conditioned_recoverability,0.32364094692838974,0.19525469893860348,observable_blocks_reconstructed_interviewer_score_variation_beyond_binary_label_alignment,0.5,0.05
bge,5,P_within,outer_test,0.009223973841094746,0.0022286790963199354,0.38245124821318965,0.4892743889342926,0.02960868918315727,0.2393894276670254,0.24161810676334533,True,label_conditioned_recoverability,0.32364094692838974,0.19525469893860348,observable_blocks_reconstructed_interviewer_score_variation_beyond_binary_label_alignment,0.5,0.05
bge,5,P_within+Q+R+D,outer_test,0.19525469893860348,0.04717707069419236,0.34581421770145865,0.4409546870928497,0.45584053345515735,0.19444103606915297,0.24161810676334533,True,label_conditioned_recoverability,0.32364094692838974,0.19525469893860348,observable_blocks_reconstructed_interviewer_score_variation_beyond_binary_label_alignment,0.5,0.05
bge,5,Q,outer_test,0.05155686809229232,0.012457072859107188,0.3723323672091713,0.4787076706135365,0.3067010903390886,0.22916103390423814,0.24161810676334533,True,label_conditioned_recoverability,0.32364094692838974,0.19525469893860348,observable_blocks_reconstructed_interviewer_score_variation_beyond_binary_label_alignment,0.5,0.05
bge,5,R,outer_test,0.22986358200197388,0.05553920349715791,0.3413803209480698,0.43136863964153377,0.49134413683409794,0.18607890326618742,0.24161810676334533,True,label_conditioned_recoverability,0.32364094692838974,0.19525469893860348,observable_blocks_reconstructed_interviewer_score_variation_beyond_binary_label_alignment,0.5,0.05
bge,6,D,outer_test,-0.005216471499312814,-0.0006358403922089861,0.23305670107148233,0.35003819473353737,0.0746620060542269,0.12252673777231383,0.12189089738010485,True,label_conditioned_recoverability,0.21463118892126964,0.1026299400267835,observable_blocks_reconstructed_interviewer_score_variation_beyond_binary_label_alignment,0.5,0.05
bge,6,P_within,outer_test,0.057255018418375436,0.006978865574530216,0.2290225750769278,0.33898677231652363,0.10691106915260348,0.11491203180557463,0.12189089738010485,True,label_conditioned_recoverability,0.21463118892126964,0.1026299400267835,observable_blocks_reconstructed_interviewer_score_variation_beyond_binary_label_alignment,0.5,0.05
bge,6,P_within+Q+R+D,outer_test,0.1026299400267835,0.012509655487930982,0.22917302708933637,0.33072835060238465,0.40203398639119353,0.10938124189217387,0.12189089738010485,True,label_conditioned_recoverability,0.21463118892126964,0.1026299400267835,observable_blocks_reconstructed_interviewer_score_variation_beyond_binary_label_alignment,0.5,0.05
bge,6,Q,outer_test,-0.015771106333622997,-0.001922354303682372,0.23133022144815066,0.35187107253053246,0.17865592603381036,0.12381325168378722,0.12189089738010485,True,label_conditioned_recoverability,0.21463118892126964,0.1026299400267835,observable_blocks_reconstructed_interviewer_score_variation_beyond_binary_label_alignment,0.5,0.05
bge,6,R,outer_test,0.10977280801284572,0.013380306076619733,0.23129267562385805,0.3294094584305149,0.3969919801505058,0.10851059130348512,0.12189089738010485,True,label_conditioned_recoverability,0.21463118892126964,0.1026299400267835,observable_blocks_reconstructed_interviewer_score_variation_beyond_binary_label_alignment,0.5,0.05
