representation,repeat,draw,domain_type,base_roc_auc,enhanced_roc_auc,base_pr_auc,enhanced_pr_auc,base_brier,enhanced_brier,base_log_loss,enhanced_log_loss,delta_auc,delta_pr_auc,delta_brier,delta_log_loss,interpretation_scope
tfidf,1,11,fake,0.8174770965468638,0.8536528071411792,0.618187310058225,0.6432036818529165,0.1768833221570648,0.1773104523187859,0.542923955084336,0.538743590726259,0.03617571059431535,0.025016371794691517,-0.0004271301617211065,0.0041803643580770045,real_D_vs_fake_D_negative_control
tfidf,1,12,fake,0.8306319003993423,0.8386187455954898,0.6604902178706588,0.6503806898216704,0.1698441794384971,0.17643162413613903,0.5199989502449937,0.5399385707208249,0.007986845196147452,-0.010109528048988348,-0.006587444697641914,-0.0199396204758312,real_D_vs_fake_D_negative_control
tfidf,1,13,fake,0.8350951374207188,0.8348602302090674,0.6474620476417228,0.650317903782668,0.17063150299315633,0.17160544598283717,0.5067227058015292,0.5110526365153926,-0.00023490721165142503,0.00285585614094519,-0.0009739429896808427,-0.004329930713863339,real_D_vs_fake_D_negative_control
tfidf,1,14,fake,0.8653981677237491,0.861169837914024,0.6869663800589171,0.6838589591089556,0.16594210236943485,0.17249525734084967,0.5035444771292235,0.5224509131541839,-0.004228329809725095,-0.0031074209499615257,-0.006553154971414815,-0.01890643602496045,real_D_vs_fake_D_negative_control
tfidf,1,15,fake,0.851773549447968,0.8294573643410852,0.7093635328628188,0.6376140516075135,0.173094461533602,0.18348364248525545,0.5172845266546263,0.5504179733896932,-0.022316185106882824,-0.07174948125530534,-0.010389180951653448,-0.03313344673506691,real_D_vs_fake_D_negative_control
tfidf,1,16,fake,0.8672774254169603,0.852948085506225,0.689740930637891,0.6427904226174656,0.16543893196762202,0.16263924931689544,0.5061680864468907,0.5024305914510121,-0.014329339910735261,-0.04695050802042544,0.0027996826507265815,0.0037374949958786097,real_D_vs_fake_D_negative_control
tfidf,1,17,fake,0.8578811369509044,0.8494244773314541,0.6719244848864203,0.6783534094234245,0.16271929006377112,0.16720234127573438,0.49341284898047344,0.5018485478532605,-0.008456659619450302,0.006428924537004166,-0.004483051211963268,-0.008435698872787056,real_D_vs_fake_D_negative_control
tfidf,1,18,fake,0.8510688278130139,0.8698614047451256,0.6641126407787427,0.7077789071924364,0.16591258321159966,0.16659017911538243,0.5009166420656962,0.5056363588640895,0.018792576932111782,0.043666266413693755,-0.0006775959037827739,-0.004719716798393336,real_D_vs_fake_D_negative_control
tfidf,1,19,fake,0.8550622504110876,0.8538877143528306,0.686180336508223,0.6860966469229097,0.16279884437154846,0.16748534404613366,0.49050789660715205,0.5006152161414799,-0.0011745360582570141,-8.368958531324022e-05,-0.004686499674585204,-0.010107319534327808,real_D_vs_fake_D_negative_control
tfidf,1,20,fake,0.8571764153159502,0.8527131782945736,0.6803874497117567,0.711148717642666,0.16539886903967088,0.16687834806513835,0.50248805617753,0.4989193096863045,-0.0044632370213766315,0.030761267930909275,-0.0014794790254674672,0.0035687464912255162,real_D_vs_fake_D_negative_control
tfidf,1,21,fake,0.8193563542400752,0.8315715292459478,0.660952049409633,0.6813899376108046,0.17521010032696294,0.17114449178090133,0.5794514150169477,0.5148633006071763,0.012215175005872547,0.02043788820117154,0.004065608546061611,0.06458811440977141,real_D_vs_fake_D_negative_control
tfidf,1,22,fake,0.8400281888653981,0.842847075405215,0.648198301211389,0.6537035316913165,0.17960872579134196,0.17654944489240085,0.5400751986154932,0.5332083574166953,0.0028188865398168783,0.005505230479927459,0.0030592808989411135,0.0068668411987979905,real_D_vs_fake_D_negative_control
tfidf,1,23,fake,0.8395583744420954,0.8590556730091614,0.6416811816213139,0.6836830518520216,0.17133548547028002,0.16867562946776907,0.5131864841483491,0.5124191584299782,0.019497298567066057,0.04200187023070767,0.002659856002510952,0.0007673257183709037,real_D_vs_fake_D_negative_control
tfidf,1,24,fake,0.8708010335917313,0.8567066008926474,0.6843775877583045,0.6978613292264442,0.17279496328396124,0.17130445870493327,0.525578343169647,0.5128912904339175,-0.014094432699083947,0.013483741468139687,0.001490504579027968,0.012687052735729565,real_D_vs_fake_D_negative_control
tfidf,1,25,fake,0.835799859055673,0.8383838383838385,0.6305107774585267,0.6256057763102395,0.18208646262747494,0.1838370218069569,0.5432591246863321,0.5508269869375477,0.0025839793281654533,-0.00490500114828718,-0.0017505591794819697,-0.00756786225121564,real_D_vs_fake_D_negative_control
tfidf,1,26,fake,0.8468404980032886,0.8372093023255813,0.6748372315403555,0.6668567564294193,0.1665035813442275,0.17586474617593126,0.494776061685302,0.5215309699458411,-0.009631195677707316,-0.007980475110936136,-0.009361164831703767,-0.026754908260539112,real_D_vs_fake_D_negative_control
