record_type,representation,repeat,outer_fold,draw,partition,feature,assignment_type,mean_signed_standardized_paired_difference,mean_abs_standardized_paired_difference,median_abs_standardized_paired_difference,q95_abs_standardized_paired_difference,before_standardized_mean_difference,after_standardized_mean_difference,max_abs_smd,mean_distance,median_distance,q95_distance,max_distance,total_cost,random_distance_q05,optimal_distance_random_percentile,n_features_mean_abs_paired_diff_lt_0_50,matching_adequate,self_match_count,max_donor_reuse_count,one_to_one
quality,tfidf,1,5,94,outer_test,interviewer_word_count,random_mismatch,1.883414059631962e-17,0.7174175001055145,0.6550333696615568,1.3524255638945608,0.0,1.883414059631962e-17,3.172065784643304e-17,3.357553622578756,3.186772156577348,5.836899927542367,6.955329498186024,372.4344447179015,2.9105872687482166,0.8118811881188119,0,False,0,1,True
quality,tfidf,1,5,94,outer_test,interviewer_turn_count,random_mismatch,-3.172065784643304e-17,1.2433251724385808,1.179153550635299,2.5969453198515513,0.0,-3.172065784643304e-17,3.172065784643304e-17,3.357553622578756,3.186772156577348,5.836899927542367,6.955329498186024,372.4344447179015,2.9105872687482166,0.8118811881188119,0,False,0,1,True
quality,tfidf,1,5,94,outer_test,clinical_question_count,random_mismatch,-1.586032892321652e-17,1.076200735701571,1.0044540199881329,2.837582606466475,0.0,-1.586032892321652e-17,3.172065784643304e-17,3.357553622578756,3.186772156577348,5.836899927542367,6.955329498186024,372.4344447179015,2.9105872687482166,0.8118811881188119,0,False,0,1,True
quality,tfidf,1,5,94,outer_test,clinical_prompt_coverage_count,random_mismatch,-2.3790493384824782e-17,1.071036499213117,0.8032773744098377,2.677591248032792,0.0,-2.3790493384824782e-17,3.172065784643304e-17,3.357553622578756,3.186772156577348,5.836899927542367,6.955329498186024,372.4344447179015,2.9105872687482166,0.8118811881188119,0,False,0,1,True
quality,tfidf,1,5,94,outer_test,non_explicit_interviewer_turn_count,random_mismatch,2.7259940336778397e-18,1.2329923868035648,1.1567248164858186,2.583352090151661,0.0,2.7259940336778397e-18,3.172065784643304e-17,3.357553622578756,3.186772156577348,5.836899927542367,6.955329498186024,372.4344447179015,2.9105872687482166,0.8118811881188119,0,False,0,1,True
quality,tfidf,1,5,94,outer_test,d_p_domain_breadth,random_mismatch,3.96508223080413e-18,1.029884584048143,0.6007660073614166,2.4030640294456664,0.0,3.96508223080413e-18,3.172065784643304e-17,3.357553622578756,3.186772156577348,5.836899927542367,6.955329498186024,372.4344447179015,2.9105872687482166,0.8118811881188119,0,False,0,1,True
quality,tfidf,1,5,94,outer_test,d_p_total_evidence_count,random_mismatch,7.93016446160826e-18,1.0053799817314386,0.8936710948723899,2.748038616732598,0.0,7.93016446160826e-18,3.172065784643304e-17,3.357553622578756,3.186772156577348,5.836899927542367,6.955329498186024,372.4344447179015,2.9105872687482166,0.8118811881188119,0,False,0,1,True
quality,tfidf,1,5,95,outer_test,interviewer_word_count,random_mismatch,1.586032892321652e-17,0.8621486827354967,0.7249035957587895,2.3703474203486192,0.0,1.586032892321652e-17,3.172065784643304e-17,3.0425080295483924,3.1356028790791877,4.574290300650196,6.787845716812799,308.39164596066905,2.9105872687482166,0.1188118811881188,0,False,0,1,True
quality,tfidf,1,5,95,outer_test,interviewer_turn_count,random_mismatch,3.172065784643304e-17,1.0267459488525055,0.7861023670901994,2.375152151993959,0.0,3.172065784643304e-17,3.172065784643304e-17,3.0425080295483924,3.1356028790791877,4.574290300650196,6.787845716812799,308.39164596066905,2.9105872687482166,0.1188118811881188,0,False,0,1,True
quality,tfidf,1,5,95,outer_test,clinical_question_count,random_mismatch,0.0,0.9327073042746947,0.7533405149910997,2.0089080399762658,0.0,0.0,3.172065784643304e-17,3.0425080295483924,3.1356028790791877,4.574290300650196,6.787845716812799,308.39164596066905,2.9105872687482166,0.1188118811881188,0,False,0,1,True
quality,tfidf,1,5,95,outer_test,clinical_prompt_coverage_count,random_mismatch,7.93016446160826e-18,1.032785195669791,1.071036499213117,2.142072998426234,0.0,7.93016446160826e-18,3.172065784643304e-17,3.0425080295483924,3.1356028790791877,4.574290300650196,6.787845716812799,308.39164596066905,2.9105872687482166,0.1188118811881188,0,False,0,1,True
quality,tfidf,1,5,95,outer_test,non_explicit_interviewer_turn_count,random_mismatch,-1.586032892321652e-17,1.0338492865294497,0.7711498776572125,2.352007126854498,0.0,-1.586032892321652e-17,3.172065784643304e-17,3.0425080295483924,3.1356028790791877,4.574290300650196,6.787845716812799,308.39164596066905,2.9105872687482166,0.1188118811881188,0,False,0,1,True
quality,tfidf,1,5,95,outer_test,d_p_domain_breadth,random_mismatch,7.93016446160826e-18,0.9869727263794702,1.2015320147228332,2.5832938316540894,0.0,7.93016446160826e-18,3.172065784643304e-17,3.0425080295483924,3.1356028790791877,4.574290300650196,6.787845716812799,308.39164596066905,2.9105872687482166,0.1188118811881188,0,False,0,1,True
quality,tfidf,1,5,95,outer_test,d_p_total_evidence_count,random_mismatch,6.938893903907228e-18,0.9734631569145675,0.6702533211542925,2.368228401411832,0.0,6.938893903907228e-18,3.172065784643304e-17,3.0425080295483924,3.1356028790791877,4.574290300650196,6.787845716812799,308.39164596066905,2.9105872687482166,0.1188118811881188,0,False,0,1,True
quality,tfidf,1,5,96,outer_test,interviewer_word_count,random_mismatch,1.1895246692412391e-17,1.0305858349341828,0.8035076001181763,2.5096511836299764,0.0,1.1895246692412391e-17,3.172065784643304e-17,3.3753624423844175,3.0320518679707176,6.298508069506525,6.955329498186024,370.2060649986302,2.9105872687482166,0.8613861386138614,0,False,0,1,True
quality,tfidf,1,5,96,outer_test,interviewer_turn_count,random_mismatch,1.1895246692412391e-17,1.0467995806660306,0.8422525361680708,2.7036306410995063,0.0,1.1895246692412391e-17,3.172065784643304e-17,3.3753624423844175,3.0320518679707176,6.298508069506525,6.955329498186024,370.2060649986302,2.9105872687482166,0.8613861386138614,0,False,0,1,True
quality,tfidf,1,5,96,outer_test,clinical_question_count,random_mismatch,3.172065784643304e-17,1.2196941671284471,1.0044540199881329,2.837582606466475,0.0,3.172065784643304e-17,3.172065784643304e-17,3.3753624423844175,3.0320518679707176,6.298508069506525,6.955329498186024,370.2060649986302,2.9105872687482166,0.8613861386138614,0,False,0,1,True
quality,tfidf,1,5,96,outer_test,clinical_prompt_coverage_count,random_mismatch,1.586032892321652e-17,1.1857904098430936,1.071036499213117,2.677591248032792,0.0,1.586032892321652e-17,3.172065784643304e-17,3.3753624423844175,3.0320518679707176,6.298508069506525,6.955329498186024,370.2060649986302,2.9105872687482166,0.8613861386138614,0,False,0,1,True
quality,tfidf,1,5,96,outer_test,non_explicit_interviewer_turn_count,random_mismatch,-3.172065784643304e-17,1.0253751120497,0.8304690990154596,2.577420168015836,0.0,-3.172065784643304e-17,3.172065784643304e-17,3.3753624423844175,3.0320518679707176,6.298508069506525,6.955329498186024,370.2060649986302,2.9105872687482166,0.8613861386138614,0,False,0,1,True
quality,tfidf,1,5,96,outer_test,d_p_domain_breadth,random_mismatch,7.93016446160826e-18,1.0727964417168157,0.6007660073614166,2.793561934230586,0.0,7.93016446160826e-18,3.172065784643304e-17,3.3753624423844175,3.0320518679707176,6.298508069506525,6.955329498186024,370.2060649986302,2.9105872687482166,0.8613861386138614,0,False,0,1,True
quality,tfidf,1,5,96,outer_test,d_p_total_evidence_count,random_mismatch,-2.1807952269422717e-17,0.9255879196892609,0.6702533211542925,2.826234837533933,0.0,-2.1807952269422717e-17,3.172065784643304e-17,3.3753624423844175,3.0320518679707176,6.298508069506525,6.955329498186024,370.2060649986302,2.9105872687482166,0.8613861386138614,0,False,0,1,True
quality,tfidf,1,5,97,outer_test,interviewer_word_count,random_mismatch,2.1807952269422717e-17,0.90145068491519,0.6987022609723272,2.486069982322162,0.0,2.1807952269422717e-17,4.7580986769649563e-17,3.236189979357254,3.03328396977282,5.517933046727994,7.516844681832186,350.2738980247906,2.9105872687482166,0.5742574257425742,0,False,0,1,True
quality,tfidf,1,5,97,outer_test,interviewer_turn_count,random_mismatch,-3.96508223080413e-18,0.9906494115881594,0.6738020289344566,2.276889356107684,0.0,-3.96508223080413e-18,4.7580986769649563e-17,3.236189979357254,3.03328396977282,5.517933046727994,7.516844681832186,350.2738980247906,2.9105872687482166,0.5742574257425742,0,False,0,1,True
quality,tfidf,1,5,97,outer_test,clinical_question_count,random_mismatch,-1.586032892321652e-17,1.183820809271728,1.0044540199881329,3.013362059964399,0.0,-1.586032892321652e-17,4.7580986769649563e-17,3.236189979357254,3.03328396977282,5.517933046727994,7.516844681832186,350.2738980247906,2.9105872687482166,0.5742574257425742,0,False,0,1,True
quality,tfidf,1,5,97,outer_test,clinical_prompt_coverage_count,random_mismatch,1.586032892321652e-17,1.1857904098430938,1.071036499213117,3.0256781102770547,0.0,1.586032892321652e-17,4.7580986769649563e-17,3.236189979357254,3.03328396977282,5.517933046727994,7.516844681832186,350.2738980247906,2.9105872687482166,0.5742574257425742,0,False,0,1,True
quality,tfidf,1,5,97,outer_test,non_explicit_interviewer_turn_count,random_mismatch,9.912705577010326e-18,0.9914784141307019,0.7118306562989654,2.3075177108358123,0.0,9.912705577010326e-18,4.7580986769649563e-17,3.236189979357254,3.03328396977282,5.517933046727994,7.516844681832186,350.2738980247906,2.9105872687482166,0.5742574257425742,0,False,0,1,True
