representation,repeat,model_name,roc_auc,pr_auc,brier,log_loss,sensitivity_at_0_50,specificity_at_0_50,interpretation_scope
mpnet,1,base,0.8823114869626497,0.7448363558987025,0.1516145276838727,0.4797800285935706,0.8837209302325582,0.7373737373737373,residual_label_increment
mpnet,1,enhanced,0.8607000234907211,0.7305732838455721,0.16139857892736664,0.48280631303284954,0.8604651162790697,0.7373737373737373,residual_label_increment
mpnet,2,base,0.7883486023020906,0.6229835608745203,0.2059794549513086,0.9663457660001894,0.7674418604651163,0.7070707070707071,residual_label_increment
mpnet,2,enhanced,0.7199906037115339,0.5266697244441761,0.25894095853331517,3.0252323716825313,0.6976744186046512,0.696969696969697,residual_label_increment
mpnet,3,base,0.8597603946441156,0.7303593695189776,0.15637606125778042,0.47399159157486925,0.813953488372093,0.7575757575757576,residual_label_increment
mpnet,3,enhanced,0.8235846840498003,0.6788014127796788,0.16669340574005756,0.5303301302789405,0.7441860465116279,0.7575757575757576,residual_label_increment
mpnet,4,base,0.874794456189805,0.7586065281610976,0.15371865919049083,0.46714290441774076,0.813953488372093,0.7676767676767676,residual_label_increment
mpnet,4,enhanced,0.8273431994362227,0.6837821731297258,0.17356913537755603,0.5497714722748076,0.7906976744186046,0.7373737373737373,residual_label_increment
mpnet,5,base,0.8569415081042988,0.7536332127251932,0.15645130190534928,0.4626964492014013,0.813953488372093,0.7171717171717171,residual_label_increment
mpnet,5,enhanced,0.859995301855767,0.7236074401951732,0.15752327903755506,0.48392226035914165,0.813953488372093,0.7272727272727273,residual_label_increment
mpnet,6,base,0.8635189100305379,0.7527853863485379,0.1607946818573273,0.4791941505434444,0.7906976744186046,0.7474747474747475,residual_label_increment
mpnet,6,enhanced,0.8360347662673244,0.7140721767795104,0.1729366907149598,0.5366717204153791,0.7674418604651163,0.7575757575757576,residual_label_increment
mpnet,7,base,0.8604651162790697,0.7524239128150332,0.15757690543455163,0.4710977916146771,0.7906976744186046,0.7171717171717171,residual_label_increment
mpnet,7,enhanced,0.7832980972515856,0.5354973880890297,0.20560373950121302,2.3726421135655804,0.7209302325581395,0.7171717171717171,residual_label_increment
mpnet,8,base,0.811604416255579,0.6307342992714071,0.18448788284802986,1.417366562785674,0.7674418604651163,0.7171717171717171,residual_label_increment
mpnet,8,enhanced,0.8137185811604416,0.638939855690794,0.1928184118914391,0.7604304320738512,0.8372093023255814,0.7070707070707071,residual_label_increment
mpnet,9,base,0.8454310547333803,0.7110366643079598,0.1613476348660041,0.4919175078013302,0.813953488372093,0.7575757575757576,residual_label_increment
mpnet,9,enhanced,0.8442565186751233,0.7151645279056082,0.16909411583900297,0.5125751792234292,0.8372093023255814,0.7171717171717171,residual_label_increment
mpnet,10,base,0.7904627672069533,0.644300444768503,0.18922261807695112,0.6261591035211166,0.6976744186046512,0.7272727272727273,residual_label_increment
mpnet,10,enhanced,0.7848249941273198,0.6397632607047904,0.1907663500901877,0.6256298281162646,0.6744186046511628,0.7373737373737373,residual_label_increment
tfidf,1,base,0.8769086210946676,0.74484004066111,0.1576127305289726,0.47963762980789293,0.9069767441860465,0.6868686868686869,residual_label_increment
tfidf,1,enhanced,0.8527131782945736,0.7162313362207962,0.17041380777082824,0.5075471281111695,0.9069767441860465,0.6868686868686869,residual_label_increment
tfidf,2,base,0.83697439511393,0.6672841167580488,0.16898358518220635,0.5115608351883855,0.813953488372093,0.7474747474747475,residual_label_increment
tfidf,2,enhanced,0.8538877143528306,0.7154218278832862,0.15659269983490742,0.4739287131671725,0.8372093023255814,0.7777777777777778,residual_label_increment
tfidf,3,base,0.851773549447968,0.7110037390452724,0.15934238195118425,0.482945729355279,0.7906976744186046,0.7575757575757576,residual_label_increment
tfidf,3,enhanced,0.8242894056847545,0.6562670841128884,0.16869455278897988,0.5621862839572844,0.813953488372093,0.7474747474747475,residual_label_increment
tfidf,4,base,0.8435517970401691,0.6984337143030023,0.16866773733880747,0.5312813950470959,0.7674418604651163,0.7474747474747475,residual_label_increment
tfidf,4,enhanced,0.8475452196382429,0.7062624050653794,0.16628015076124994,0.4982266178870414,0.813953488372093,0.7171717171717171,residual_label_increment
tfidf,5,base,0.8545924359877848,0.7504560645509184,0.15632063200840002,0.46106329400486723,0.813953488372093,0.7272727272727273,residual_label_increment
tfidf,5,enhanced,0.8583509513742071,0.7418567241843483,0.1575611561867218,0.4711306942482963,0.7441860465116279,0.7575757575757576,residual_label_increment
tfidf,6,base,0.851773549447968,0.7256489346334929,0.1639405731920968,0.48663444297529096,0.813953488372093,0.7474747474747475,residual_label_increment
tfidf,6,enhanced,0.8649283533004463,0.7590358075174246,0.15850791979506695,0.47044409759992634,0.7674418604651163,0.7575757575757576,residual_label_increment
tfidf,7,base,0.8480150340615457,0.7296330858177127,0.1653287263814113,0.49344440256742444,0.7674418604651163,0.7474747474747475,residual_label_increment
tfidf,7,enhanced,0.8407329105003524,0.723987421851719,0.1721956859324615,0.5064759065869691,0.7906976744186046,0.6868686868686869,residual_label_increment
tfidf,8,base,0.8451961475217289,0.6879795805651551,0.16697531021606257,0.5048060399453409,0.8372093023255814,0.7171717171717171,residual_label_increment
tfidf,8,enhanced,0.8155978388536529,0.6627027837553425,0.18588689447117332,0.5474201089124806,0.8372093023255814,0.6868686868686869,residual_label_increment
tfidf,9,base,0.8459008691566832,0.6921328194522398,0.16071574474514125,0.4934041731200096,0.813953488372093,0.7474747474747475,residual_label_increment
tfidf,9,enhanced,0.850599013389711,0.6969397260676757,0.17238866602481498,0.528057905280758,0.8604651162790697,0.7070707070707071,residual_label_increment
tfidf,10,base,0.841672539346958,0.690940186793417,0.1696725438877133,0.5136684979492719,0.813953488372093,0.7171717171717171,residual_label_increment
tfidf,10,enhanced,0.8421423537702608,0.6937564415964695,0.1699601870056986,0.513509899651611,0.813953488372093,0.7171717171717171,residual_label_increment
