representation,repeat,draw,domain_type,r2,mae,rmse,spearman_rho,mse_improvement,target_mse,null_mse,interpretation_scope
tfidf,1,72,fake,0.7642211033957103,0.18751209497525387,0.22987501042128505,0.889909910287495,0.7642211033957103,0.05284252041618591,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,73,fake,0.7609872484889928,0.18910667638968937,0.23144608142142717,0.8945369883338119,0.7609872484889928,0.0535672886053339,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,74,fake,0.763782357233665,0.18668836647237663,0.23008879101003765,0.8961757451418825,0.763782357233665,0.052940851748460784,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,75,fake,0.7624645172260002,0.18657536307969563,0.230729722135273,0.8931832327097537,0.7624645172260002,0.05323620467662029,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,76,fake,0.7660103885434931,0.18534506091961633,0.22900110850143762,0.8975881774802963,0.7660103885434931,0.0524415076948872,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,77,fake,0.761511976819502,0.1886517157352649,0.23119188359268275,0.8957566257536291,0.761511976819502,0.053449687039132575,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,78,fake,0.7587593067943224,0.18793214734854638,0.23252228403843744,0.8920432279737045,0.7587593067943224,0.054066612574451785,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,79,fake,0.7659844547132525,0.18549150375108445,0.22901379861893623,0.8965319966218978,0.7659844547132525,0.052447319957874675,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,80,fake,0.7575486505664868,0.18886760067666117,0.23310500549249594,0.8902074850531548,0.7575486505664868,0.05433794358565656,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,81,fake,0.7697517243414074,0.1845099919180117,0.22716294464029438,0.9011129715355068,0.7697517243414074,0.05160300341764945,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
